id,en,ar,d,cat,related
1288,disk unit,وحدة أقراص,مِسْوَقُ قرصٍ disk drive أو علبتُه.,18,
1289,diskless workstation,محطةُ عملٍ عديمةُ الأقراص,محطةٌ على شبكةٍ حاسوبية غير مزوَّدة بمِسْوَقِ أقراص disk drive، وتَستخدِمُ ملفاتٍ مخزَّنة في مخدِّم ملفات.,15,
1290,dispatch table,جدول إسناد المهمات,جدولُ المُعيِّنات والعناوين لصنف محدَّد من المَساقات routines البرمجية مثل متولِّيات handlers المقاطعة (مَساقات يجري تنفيذها استجابة لإشارات أو شروط محددة).,17,2699
1291,dispatcher,مُسنِد المهمات,في بعض أنظمة التشغيل المتعددة المهمات: مجموعةٌ من المَساقات routines المسؤولةِ عن تحصيص الزمن للتطبيقات المختلفة في وحدة المعالجة المركزية CPU.,17,
1292,disperse,يُشتِّت,يجزِّئُ ويوزِّعُ على أكثر من موضع. مثل: تَشتُّت النتائجِ على عدة مجموعات من المعطيات، أو تَشتُّت البنودِ (حقول التسجيلات مثلاً) بحيث تَظهر في أكثر من مكان في الخرج.,7,
1293,dispersion,تَشتُّت,درجةُ خَزْنِ معطياتِ منظومة حواسيب موزَّعة (متصلة فيما بينها) في لحظة محددة، في مواضع مختلفة أو حتى تجهيزات مختلفة.,7|9,
1294,display,مظهار,تجهيزةُ الإظهار لخرج الحاسوب، وهي عموماً مبنيةٌ على صِمام أشعة مهبطية للإظهار الفيديوي. أما في الحواسيب الشخصية الخفيفة والمحمولة، فالمظهارُ مسطحٌ ويَعتمد عادةً السائلَ الكريستالي أو غازَ بلاسما.,18,2312|3007|5055|5068
1295,display adapter,موائمة الإظهار,انظر: video adapter.,18,
1296,Z39.50 standard,مِقْيَس Z39.50,توصيفُ لغةِ استفسار، معتمِدة على SQL. يَستخدِمها WAIS من بين خدمات إنترنت الأخرى للبحث عن الملفات بواسطة كلمات مفتاحية، وهي واسعةُ الاستخدام للنفاذ من بُعد إلى أدلة المكتبات.,9,2242|4523
1297,Z80,[معالج] Z80,معالِجٌ صغريٌّ ذو 8 بتّ من شركة Zilog (وهي شركةٌ أسّسها مهندسان سابقان لدى شركة Intel). المعالجُ Z80 له مسرى عنونة 16 بتّ يسمح بعنونة ذاكرة مقدارها 64 كيلوبايت، وله مسرى معطيات 8 بتّ. إن معالج Z80 (وهو مشتق من المعالج Intel 8080)، هو معالج مفضَّل في أيام استخدام نظام التشغيل CP/M. استَخدم هذا المعالِجَ أحدُ الحواسيب المشهورة جداً في أوائل الثمانينيات، وهو حاسوب TRS-80 من شركة Radio Shack.,13,
1298,zap,1 يُتلف ؛ 2 يُتلف,"1- يمحو محواً دائماً؛ فإتلاف ملفًّ مثلاً، يعني إزالته دون أمل في استعادته.
2- يُضرّ بتجهيزة، ويكون ذلك عادةً بتفريغ الكهرباء الساكنة فيها.",17,
1299,zero,يُصْفِر,يَملأُ (أو يعوض) بالأصفار؛ كإصفار جزءٍ معيّن من الذاكرة، أو الحقل، أو بعض البنى المحددة.,19,
1300,zero divide,تقسيم على صفر,عمليةُ تقسيمٍ يكون المقسومُ عليه هو الصفر. وهي غيرُ معرَّفةٍ رياضياً، وغيرُ مسموحٍ بها في البرنامج، وتُعدّ عثرة bug.,1,
1301,zero flag,راية الصفر,رايةٌ (ضمن سجل الرايات عادة) في معالج صغري، توضع فيها القيمة 1، عندما تكون نتيجةُ العملية مساوية الصفر.,13,
1302,zero out,يَضع صفراً,يَضعُ قيمةَ الصفر لمتغيرٍ أو لسلسلة من البتات.,19,
1303,zero suppression,إسقاط (إزالة) الأصفار,إلغاءُ الاصفارِ المتقدمة (غير المهمة) في العدد، (فمثلاً إسقاطُ الأصفار سوف يحوِّل العدد 000123.456 إلى 123.456).,19,
1304,zero wait state,دون حالات انتظار,حالةُ ذاكرةٍ عشوائية النفاذ RAM سريعةٍ إلى حدٍّ كافٍ للإجابة عن المعالج دون طلبِ أيِّ حالات انتظار.,13,2243
1305,zero-insertion-force socket,"مقبس ""إدخال سهل""",انظر: ZIF socket.,4,
1306,ZIF socket,"مقبس ""إدخال سهل"" (مقبس ZIF)",مختصر: zero-insertion-force socket. نوعٌ من المَقابسِ يُستخدَمُ للدارات المتكاملة بحيث يمكِن فتحُه بوساطةِ رافعةٍ خاصة أو بزالٍ (مسمار مُلَولَب) وبحيث يَسمح ذلك بإدخال الرقاقة في المقبس دون تطبيقِ أيِّ ضغط. ثم تُغلَقُ الرافعةُ (أو البزال) فيؤدِّي ذلك إلى تحقيق تماسِّ نقاط التوصيل للمقبس مع مغارز الرقاقة تماساً جيداً. المقابسُ ZIF تُسهّل عمليةَ إدراج الرقاقات وإخراجها، ولكنها تأخذ مِساحةً أكبر وتكون تكاليفُها أكبرَ من المقبس التقليدي.,4,
1307,auto answer,إجابة آلية,مِيزةٌ تمكِّن المودمَ من الاستجابةِ الآليةِ لنداءٍ قادم.,3,3182
1308,auto dial,هَتْف آلي,مِيزةٌ تمكِّن المودمَ من فتحِ خطِّ الهاتف واستهلالِ النداء، وذلك عن طريق إرسالِ رَقْمِ الهاتفِ المخزَّنِ كسلسلةٍ من النبضاتِ أو النغمات.,3,
1309,auto-key,تكرار تلقائي [لعمل المفتاح],انظر: typematic.,18,
1310,auto-repeat,تكرار تلقائي [لعمل المفتاح],انظر: typematic.,18,
1311,AutoCorrect,تصحيح تلقائي,وظيفةٌ في برنامجِ Microsoft Word لتصحيحِ الأخطاء تلقائياً، ولإجراء عملياتِ استبدالٍ أخرى حالما يُدخِلُ المستخدِمُ نصاً. فمثلاً، يمكِن إعدادُ التصحيحِ التلقائيِّ بحيث يُصَحِّحُ الأخطاءَ الإملائية، كوضعِ the بدلاً من teh، أو تبديلِ علاماتِ الاقتباس الأنيقةِ بعلاماتِ الاقتباس المستقيمة. ويَستطيعُ المستخدِمُ أن يختار أيّاً من مِيزات التصحيحِ التلقائيِّ التي يريدُ تفعيلَها.,16|26,
1312,automata theory,1 نظرية المُؤَتْمَتات ؛ 2 نظرية المُؤَتْمَتات,1- دراسةُ عملياتِ الحوسبةِ وإمكاناتِها ومحدوديتِها، أيْ كيفية استقبالِ النظمِ للمُدْخَلات وكيفية توليدِ المُخْرَجَات.,11|25,1210
1313,automated office,مكتب محوسب,مصطلحٌ عامٌّ، يُشير إلى المكتبِ الذي يُنَفَّذُ فيه العملُ بمعونةِ الحواسيب، وفيه تسهيلاتُ الاتصالات من بُعد، وتجهيزاتٌ إلكترونيةٌ أخرى.,16,
1314,automatic answering,إجابة تلقائية,انظر: auto answer.,3,
1315,automatic data processing,معالجة تلقائية للمعطيات,انظر: data processing.,7,
1316,automatic dialing,هتف آلي,انظر: auto dial.,3|14|15,
1317,automatic error correction,تصحيح تلقائي للأخطاء,الإجرائيةُ التي تَستدعِي مَسَاقاً routine مُصمَّماً لتصحيحِ الخطأِ أو لإعادةِ العملية، وذلك عند كشفِ خطأٍ في إرسالِ المعطيات أو في المعالجةِ الداخلية.,3|15,
1318,Automatic Sequence Controlled Calculator,حاسب تلقائي محكوم بالتتابع,انظر: Mark I.,3,
1319,Automatic System Reconfiguration,إعادة تشكيل النظام آلياً,أتمتةُ تشكيلِ النظامِ من قبل النظام نفسه، للتكيّف مع بعضِ التغييراتِ البرمجيةِ أو العتادية.,4|17,
1320,automonitor,رقابة ذاتية,إجرائيةٌ، أو مِيزةُ نظامٍ قادرٍ على تخمين حالةِ بيئتِه الداخلية.,17,
1321,AutoPlay,تشغيل تلقائي,مِيزةٌ في نظام Windows 95 تَسمح بتشغيلِ القرصِ المتراصِّ CD-ROM تلقائياً. فعند إدخالِ قرصٍ متراصٍّ ضمن مِسْوَقِه، يبحث نظامُ Windows 95 عن ملف AUTORUN.INF في القرص. فإذا كان الملفُّ موجوداً، فإنّ نظامَ Windows 95 يَفتحُه ويُنَفِّذُ تعليماتِه، التي تكُون عادةً لإعدادِ التطبيقِ من القرصِ المتراصِّ على القرصِ الصُّلْب، أو لبدءِ التطبيقِ حالما يتمُّ إرساؤه. أما إذا وُضِعَ قرصٌ متراصٌّ سمعِيٌّ في المِسْوَق، فإنّ نظامَ Windows 95 يبدأُ بتشغيلِ القرصِ تلقائياً.,14,
1322,autopolling,استقصاء تلقائي,إجرائيةٌ تُحدِّد دورياً حالةَ كلِّ تجهيزةٍ في مجموعة، بحيث يُمكِن أن يعالِجَ البرنامجُ الفعّالُ الأحداثَ التي تولِّدها كلُّ تجهيزة، كأنْ يُحدِّد: هل زرُّ الفأرةِ مضغوط؟ أو هل توفّرتْ معطياتٌ جديدةٌ على المنْفَذِ التسلسلي؟ هذا الشيءُ يمكِن أن يَتغايَرَ مع المعالجةِ المقُودَةِ بالحَدَث، التي يُنَبِّهُ فيها نظامُ التشغيلِ البرنامجَ أو المَسَاقَ routine على حصولِ الحَدَثِ عن طريقِ مقاطعةٍ أو رسالةٍ، بدلاً من فحصِ كلِّ تجهيزة على التعاقب.,17,2066|4139
1323,autorestart,إعادة بدء التشغيل تلقائياً,إجرائيةٌ، أو مِيزةُ نظامٍ قادرٍ على إعادةِ تشغيلِ النظامِ تلقائياً بعد حدوث أنواع محدَّدةٍ من الأخطاء أو عطلٍ في تغذيةِ النظام.,17,
1324,autosave,حفظ تلقائي,مِيزةُ برنامجٍ يَحفظُ تلقائياً ملفّاً مفتوحاً على القرصِ أو على وسطٍ آخر، عند مجالات مُعَرَّفة، أو بعد عددٍ محدَّدٍ من ضغطاتِ المفاتيح، وذلك لضمان الحفظِ الدوريِّ للتغييرات الجاريةِ على الوثيقة.,17|26,
1325,autosizing,ضبط الحجم تلقائياً,قابليةُ المرقابِ لِقبولِ إشاراتٍ بِمَيْزٍ resolution معيَّنٍ وإظهارِ الصورةِ بِمَيْزٍ مختلف. يحافظ المرقابُ القادرُ على ضبطِ الحجم تلقائياً على نسبةِ المظهر العام للصورة، لكنّه يُكبِّر أو يُصغِّر الصورةَ لتتكيَّف مع الفراغِ المتاح.,14|18|23,3103|4000
1326,autostart routine,مساق البدء التلقائي,إجرائيةٌ يقوم فيها النظامُ أو التجهيزةُ تلقائياً بالتحضير للعملِ عند وصْلِ التغذية، أو عند وضعِ النظام في حالةِ التشغيل، أو عند حصولِ حَدَثٍ محدَّدٍ سلفاً.,17,1323|2571|5457
1327,autotrace,تخطيط الحافَات,مِيزةُ برنامجِ رسْمٍ يَرسُمُ خطوطاً على طول حافَاتِ صورةٍ مقابَلةٍ نقطياً بهدف تحويل الصورةِ إلى أخرى غرضيةِ التوجه.,14|23,2895|5419
1328,auxiliary equipment,معَدّات مساندة,انظر: accessory.,18,
1329,auxiliary storage,وسَطُ خَزْنٍ مسانِد,أيُّ وَسَطِ خَزْنٍ، مثل القرص أو شريط التخزين المغنطيسي، لا يُنْفَذُ إليه مباشرةً من المعالِج الصغري للحاسوب، كما في حالة ذاكرة RAM. في الاستخدامات الحالية: يُشار عادةً إلى مثل هذا الوسط بالمخزن، أو الخزْن الدائم، أما رقاقات ذاكرة RAM التي يَستخدمها المعالِج الصغري مباشرةً للخزْنِ المؤقَّتِ فيشارُ إليها بالذاكرة.,4|18,
1330,availability,مُتاحيّة,في المعالجة: قابليةُ النفاذِ إلى نظامٍ حاسوبي، أو مَوْرِدٍ كالطابعة، من حيث الاستعمال أو النسبة المئوية للزمن الكلي الضروري لاستعمال التجهيزة.,21,
1331,available time,زمن متاح,انظر: uptime.,21,
1332,AVI,تشابك الصوت والفيديو,مختصر: Audio Video Interleaved. مَصاغةٌ format لملفاتٍ متعددةِ الوسائط في نظام Windows للصوت والصور المتحركة التي تَستخدِمُ مواصفاتِ RIFF (مَصاغة ملفات تبادل الموارد).,14,
1333,AVI cable,كبل AVI,انظر: transceiver cable.,3|14,
1334,axis,محور,في المخططات، أو أي نظام ثنائي البعد يَستعمل الإحداثيات: الخطُّ الأفقيُّ (محور السينات) أو الشاقولِيُّ (محور العينات) الذي يُستفاد منه مرجعاً لرسم النقاط. وفي نظام الإحداثيات الثلاثية الأبعاد: الخطُّ الثالث (محور الصادات) الذي يُستعمل لتمثيل العمق.,5,5587
1335,b,1 بتّ ؛ 2 بود,"1- مختصر: bit.
2- مختصر: baud.",3|7,
1336,B,بايت، ثمانية,مختصر: byte.,7,
1337,B-tree,شجرة B,بنيةٌ شجريةٌ لخزْنِ أدلةِ قواعدِ المعطيات، تحوي كلُّ عقدةٍ فيها قائمةً مفروزةً من القيم المفتاحية والربطات links التي توافق مجالاتِ القيم المفتاحية الواقعة بين القيم المسرودة. وللعثور على تسجيلةِ معطيات معيّنة عُلِمَتْ قيمتُها المفتاحية، يَقرأُ البرنامجُ العقدةَ الأولى (أو الجذر) من قرصِ الخزن ويقارنُ المفتاحَ المطلوبَ بالمفاتيح الموجودة في العقدةِ ليختارَ (أو يحدِّدَ) المجالَ الفرعيَّ للمفاتيح الواجبِ البحث فيها. ويُكرِّرُ العمليةَ في العقدة الموافقةِ التي تشير إليها الربطة. وعند المستوى الأدنى، تشير الربطاتُ إلى تسجيلاتِ المعطيات. وبهذا يستطيعُ نظامُ قواعدِ المعطيات القفزَ بسرعةٍ نزولاً عبر مستوياتِ البنية الشجرية للعثور على مداخلِ الأدلةِ البسيطة التي تحوي الموضعَ أو السطرَ للتسجيلةِ المرغوب فيها.,7|8,
1338,back door,بابٌ خلفيّ,وسيلةٌ للنفاذِ إلى برنامجٍ أو نظامٍ ما، بتخطِّي إجراءاتِ التحكّم الأمنِيّ فيه. يبني المبرمجون الأبوابَ الخلفيةَ غالباً في النظم أثناء تطويرها، من أجل كشفِ عثرات البرنامج وإزالتِها. إذا أصبح البابُ الخلفيُّ معروفاً لشخصٍ آخر غيرِ المبرمِج، أو إذا لم يُحذَفْ من البرنامج قبل إصداره للاستعمال، يكون ثـمّةَ  خطرٌ أمني.,22|24,
1339,back end,1 طرفٌ خلفيّ ؛ 2 طرفٌ خلفيّ,1- في تطبيقات الزبون/المخدِّم: الجزءُ من البرنامج الذي يُنفَّذ على المخدِّم.,15|19|22,5681
1340,back panel,لوحةٌ ظهرية,اللوحةُ الموجودةُ على الواجهةِ الخلفية لخزانةِ الحاسوب، التي يُوصَل من طريقها معظمُ الوصلاتِ إلى منابعِ التغذية، وطرفيات الحاسوب.,4|18,
1341,concurrent operation,عملية متسايرة,انظر: concurrent.,4|17|19,
1342,consistency check,تدقيق التساوق,فحصٌ يُحدِّد: أتُطابقُ بنود المعطيات مَصَاغات formats، أو حدوداً، أو مُوسِطات parameters؟ وهل هي غير متناقضة داخلياً؟,7,
1343,console,مِعْراض,وحدةُ تحكّم (كالمطراف) يتخاطبُ عبرها المستخدِمُ مع الحاسوب. في الحواسيب الصغرية: المِعْراضُ هو الخزانةُ التي تحوي مكوِّنات النظام الأساسية ووسائل التحكّم فيه، التي تتضمن أحياناً الشاشةَ أو لوحةَ المفاتيح أو كليهما. وفي نظام التشغيل MS-DOS: المِعراضُ هو تجهيزةُ الدخْلِ الأولية (لوحة المفاتيح) وتجهيزةُ الخرج الأولية (الشاشة)، ويشار إليها باسم CON.,18,4647
1344,constant,ثابت,عنصرٌ مُسمّىً يَحتفظُ بقيمةٍ ثابتةٍ طوال مدة تنفيذ البرنامج، على خلاف المتغيّر الذي يمكِن أنْ تتغيّرَ قيمتُه أثناءَ التنفيذ.,19,
1345,constant expression,تعبير ثابت,تعبيرٌ مؤلَّفٌ من ثوابتَ فقط، ولذا لا تتغير قيمتُه أثناءَ تنفيذ البرنامج.,19,
1346,constellation,كوكبة,في الاتصالات: شكلٌ نمطيٌّ يمثِّل الحالاتِ الممكنةَ للموجة الحاملة، التي يترافقُ كلٌّ منها مع جَميعةٍ معيّنةٍ من البتّات. تُبيِّن الكوكبةُ عددَ الحالات التي يمكِن تمييزُها كتغيراتٍ وحيدة في إشارة الاتصالات، ومن ثَمّ العدد الأعظمي للبتّات التي يمكِن أن ترمَّزَ في تغير واحد (مكافئ لبود baud واحد، أو لحادثة واحدة).,3,
1347,constraint,قَيْد,في البرمجة: تقييدٌ للحلول المقبولة لمسألة.,19,
1348,consultant,مستشار [معلوماتي],مختصٌّ بالحواسيب، يعمل مع شركات الزبائن متعاقداً مستقلاً، لا موظفاً. يوظَّفُ المستشارون غالباً لتحليل متطلّبات المستخدِمين ولتطوير مواصفات النظم.,,
1349,contact manager,برنامج إدارة الارتباطات,نوعٌ من قواعد المعطيات المتخصّصة التي تتيح لمستخدِميها حفْظَ تسجيلةِ record الاتصالات الشخصية بالآخرين. يَستخدِمُ برنامجَ إدارة الارتباطات - على نطاق واسع - العاملون في المبيعات وغيرُهم، ممن يريدون الاحتفاظَ بأثرٍ للمحادثات والرسائل الإلكترونية، وأشكال الاتصال الأخرى بعدد كبير من الزبائن الفعليين أو المحتملين.,8,6056
1350,container,1 حاوية ، 2 حاوية,1- في مصطلحات OLE: ملفٌّ يتضمّن أغراضاً مربوطةً أو مضمَّنة.,19,237
1351,content,1 محتوى؛ 2 مضمون,1- المعطياتُ التي تَظهرُ بين أمارَتَي tags البداية والنهاية لعنصر في وثيقةِ SGML أو HTML. وقد يتكوّن محتوى العنصر من نصٍّ صِرف أو عنصر آخر.,5|26,109|1009|6418
1352,content-addressed storage,خزن معنون بالمحتوى,انظر: associative storage.,13,
1353,contention,تنازع,"في الشبكات: التنافسُ بين المحطات في الحصول على فرصةِ استخدام خط الاتصالات أو موردٍ من موارد الشبكة. فمن ناحيةٍ أولى: ينطبق التنازعُ على حالةٍ تحاول فيها تجهيزتان (أو أكثر) الإرسالَ في وقتٍ واحد، مسببتين بذلك حدوثَ تصادمٍ على الخط. ومن ناحيةٍ أخرى مختلفةٍ بعض الشيء: ينطبق التنازعُ على طريقةِ ""إتاحة الجميع free-for-all"" للتحكم في النفاذ إلى خط الاتصالات، حيث يُمنَحُ حقُّ الإرسال للمحطة التي تفوز بالتحكم في الخط.",3,5967
1354,contents directory,دليل المحتويات,سلسلةٌ من الأرتال التي تحوي واصفات وعناوين مَساقات routines موجودة ضمن منطقة من الذاكرة.,17,
1355,context switching,ابتدال السياق,نوعٌ من تعددية المهمات، وهو جعْلُ المعالج المركزي يَنتقلُ من مهمةٍ إلى مهمةٍ أخرى، بدلاً من تحصيص حيّزٍ زمني من أجل كلِّ مهمة على التعاقب.,17,2816|4071
1356,context-dependent,معتمد على السياق,صفةٌ لإجرائيةٍ أو مجموعةٍ من محارفِ المعطيات التي يَعتمد معناها على البيئة المحيطة.,19,
1357,context-sensitive help,مساعَدةٌ حسّاسةٌ للسياق,ضرْبٌ من ضروبِ المساعدة يقوم فيها البرنامجُ بإظهار معلوماتٍ عن الأمر أو العملية الحالية التي يحاول المستخدِمُ تنفيذَها.,17,
1358,context-sensitive menu,قائمة [خيارات] حسّاسةٌ للسياق,"شريطُ قائمةِ خياراتٍ تتميَّز فيه الخياراتُ المتاحةُ عن غير المتاحةِ بدرجة إضاءة أشد، وذلك حسب السياقِ الذي استُدعِيَ فيه الخيار. مثال: شريطُ قائمةِ الخيارات في نظام Windows حسّاسٌ للسياق، أما الخيارات مثل ""نسخ"" فتظهر باللون الرمادي إذا لم يَنتقِ المستخدِمُ أيَّ عنصرٍ من عناصر النافذة.",17|25,
1359,contextual search,بحثٌ سياقي,عمليةُ بحثٍ يوجِّه فيها المستخدِمُ البرنامجَ للبحث عن مجموعةٍ محدَّدةٍ من المحارف النّصّية في ملفاتٍ محدّدة.,26,
1360,contiguous,متلاصق,له حدودٌ مشتركة، متحاذيةٌ مباشرة. (مثال ذلك: القطاعاتُ المتلاصقةُ على القرص هي مقتطَعاتُ تخزينٍ للمعطيات موجودةٌ عملياً الواحد تلو الآخر).,7,
1361,contiguous data structure,بنية معطيات متلاصقة,بنيةُ معطياتٍ (صفيفة مثلاً) مخزنةٌ في مجموعةٍ متتاليةٍ من مواضع الذاكرة.,7,6042
1362,continuous carrier,حامل مستمر,في الاتصالات: الإشارةُ الحاملةُ التي تَبقى عاملةً طَوالَ الإرسال، سواءٌ كانتْ تحمِل معلوماتٍ أم لا.,3,
1363,continuous processing,معالجة مستمرة,معالجةُ المداولات فور دخولها النظام.,17|25,
1364,continuous-form paper,ورق طباعة متصل,ورقٌ تتصِلُ فيه الصفحةُ بالصفحات التالية والسابقة لها، يُستخدَمُ في أغلب الطابعات الطرقية والطابعات النافثة للحبر، وبعضِ تجهيزات الطباعة الأخرى المصمَّمةِ مع آلية تغذية بالورق. لهذا الورق ثقوبٌ على جانبيه لكي تسحبَه جرّارةُ التلقيم.,18,768|4521|4830
1365,continuous-tone image,صورةٌ متواصلةُ التدرّج اللوني,صورةٌ، مثل الصورة الضوئية، يُعادُ فيها إنتاجُ اللون أو الألوان الرمادية باعتبارها تدرجات بدلاً من نقاط متضامّة أو متغيرة المقاس، كما في الكتب التقليدية أو طباعة الجرائد. يمكِن للصور المتواصلة التدرج اللوني أن تُرى على مرقاب تماثلي (مثل مرقاب التلفاز) يَقبل إشارةً متغيرة باستمرار باعتبارها دخلاً. لا يمكِن لهذه الصور أن تُرى على المرقاب الرقمي الذي يحتاج إلى دخلٍ مقسّمٍ إلى وحدات منفصلة، وكذلك لا يمكِن أن تُطبع في الكتب والجرائد التي تمثِّل الأشكالَ بمجموعات من النقاط.,14,1095|5067
1366,continuous-tone printer,طابعة ذات تدرج صباغي,طابعةٌ تولِّدُ الصورةَ باستخدام مستويات، ممزوجةٍ بسلاسة، من الحبر المستمر، لتحقيق التدرُّجات الرمادية أو الملونة.,18,
1367,contouring,1 تكفيف ؛ 2 تكفيف,"1- في البيانيات الحاسوبية (كنماذج CAD): تمثيلُ سطحِ شيءٍ - نتوءاتِه وشقوقِه.
2- في معالجة الصور: فَقْدٌ في التفاصيل يحدث في صورةٍ مظلَّلة عندما يُستخدَمُ عددٌ قليل جداً من التدرجات الرمادية لإنتاج شكلٍ بياني (مثل الصورة الضوئية). تسمى هذه الظاهرة في التصوير الضوئي والفنون البيانية posterization.",5,
1368,contrast,1 تباين ، 2 مفتاح التباين,"1- درجة الاختلاف بين أقصى درجات اللون ضياء وقتامة على مرقاب أو خرج مطبوع.
2- أكرة التحكم في تباين الألوان في المرقاب.",5,
1369,control,1 تحكّم، ضَبْط ، 2 تحكّم، ضَبْط,"1- إدارةُ الحاسوب وقدراتُه في المعالجة، للحفاظ على الترتيب عند تنفيذ المهمات والنشاطات. يَشملُ التحكّمُ تدابيرَ مصمّمة لضمان تنفيذ أعمالٍ خالية من الأخطاء، بالوقت والترتيب الصحيحين نسبةً إلى نشاطات تولِّي handling المعطيات أو النشاطات المتعلقة بالعتاديات. وفي إطار العتاديات: التحكمُ في عمليات النظام يمكِن أن يكونَ عبر ممر معطيات يسمى مسرى التحكم control bus. وفي إطار البرمجيات: التحكّمُ يدلُّ على تعليمات البرنامج التي تُدير مهماتِ تولِّي المعطيات.
2- في واجهة المستخدم البيانية: غرضٌ object على الشاشة يمكِن للمستخدِم التعامل معه لإنجاز عمل ما. أشهرُ أنواع التحكمات هي الأزرارُ التي تَسمح للمستخدِم بانتقاء الخيارات، وأشرطةُ الزلق scroll bars التي تَسمح للمستخدِم بالحركة ضمن الوثيقة أو بوضع نصٍّ ضمن نافذة.",17,
1370,control break,انقطاع التحكم,انتقالُ التحكّم في الحاسوب، الذي يعطي التحكمَ في وحدة المعالجة المركزية CPU إلى مِعْراضِ console المستخدِم أو إلى برنامج آخر.,4,
1371,control bus,مسرى تحكّم,مجموعةُ الخطوط (النواقل) ضمن الحاسوب التي تحمل إشارات تحكّم بين وحدة المعالجة المركزية والتجهيزات الأخرى. مثلاً، يُستخدَمُ خطُّ مسرى تحكم ليشير: أتحاولُ وحدةُ المعالجة المركزية أن تقرأَ من الذاكرة أو تكتبَ فيها؟ تَستخدِمُ الذاكرةُ خطَّ مسرى تحكمٍ آخر لتطلُبَ المقاطعةَ في حال وجود خطأ ذاكرة.,4,
1372,control character,1 محرف تحكم ، 2 محرف تحكم,"1- أيُّ محرفٍ من المحارف الـ 32 الأولى من مجموعة محارف الـ ASCII (من 0 حتى 31 في التمثيل العشري)،كلٌّ منها محدَّدٌ لتكون له وظيفةُ تحكّمٍ قياسية، مثل: العودة إلى السطر، أو تلقيم سطر، أو ""الرجوع backspace"".
2- أيُّ محرفٍ من المحارف الـ 26، ابتداء من Control-A وحتى Control-Z (من 1حتى 26 في التمثيل العشري)، يمكن ضربها باستخدام لوحة المفاتيح بضغط مفتاح التحكم للأسفل وضرب الحرف المناسب. المحارفُ الستة الباقية لها وظائفُ تحكّم، مثل زر الخلوص ASCII 27، ولا يمكِن ضربُها باستخدام مفتاح التحكم.",17,
1373,control code,رماز التحكم,واحدٌ (أو أكثر) من المحارف التي لا تُطبَع، وتُستخدَمُ في برنامجٍ حاسوبي للتحكّم في أفعال بعض التجهيزات؛ ويُستخدَمُ رمازُ التحكّم في الطباعة والاتصالات وإدارة شاشات الإظهار. ويَستخدِمُه المبرمجون أو المستخدِمون للتحكّم في الطابعة عندما لا يمكِن للبرنامج التطبيقي أن يَتقبّلَ الطابعةَ أو إحدى ميزاتها التخصصية. في الفيديو: يُرسَلُ رمازُ التحكّم من حاسوب إلى وحدة الإظهار لمعالجة مظهر النص أو المنْزلق على الشاشة. المجموعاتُ الشائعةُ لرماز التحكم في الفيديو هي: ANSI و VT-100.,17|19,1372
1374,control data,معطيات تحكم,معطياتٌ تتضمن معلوماتٍ عن التوقيتِ والابتدالِ switching، تُستخدَمُ لمزامنة وتسيير معطيات أخرى أو لإدارة عمل تجهيزة، مثل مسرى أو مَنفَذ.,4,
1375,control flow,انسياب (جريان) التحكم,تتبُّعُ كلِّ مسارات التنفيذ الممكنة في برنامج، ويمثَّل غالباً في شكلٍ بيانيّ.,19,
1376,Control key,"مفتاح ""التحكم""",مفتاحٌ يُعطِي - عند الضغط عليه مع مفتاحٍ آخر - المفتاحَ الآخرَ معنىً بديلاً. وفي كثير من البرمجيات التطبيقية يُستخدَمُ مفتاحُ التحكم (الذي يرمز إليه بـ CTRL أو Ctrl على لوحة المفاتيح في الحواسيب الشخصية) مع مفتاحٍ آخرَ لإصدار أوامرَ لوظائفَ خاصة.,17,1372
1377,control logic,منطِقُ التحكُّم,الداراتُ الإلكترونيةُ التي تولِّد، وتُفسِّر interprets، وتَستخدِمُ معطيات التحكم.,13,
1378,control panel,لوحة التحكم,في أنظمة Windows وMacintosh: نافعةٌ utility تَسمحُ للمستخدِم بالتحكّم في مظاهر نظام التشغيل أو العتاديات، كتاريخ ووقت النظام، ومميزات لوحة المفاتيح، وموسِطات parameters الشبكة.,17,
1379,control sequence,متتالية تحكم,انظر: control code.,17,
1380,control signal,إشارة تحكم,إشارةٌ إلكترونيةٌ للتحكّم في تجهيزات داخلية أو خارجية، أو للتحكم في إجرائيات.,17,
1381,control statement,عبارة تحكم,عبارةٌ تؤثِّر في مسيرة التنفيذ في البرنامج. تتضمّن عباراتُ التحكم: العباراتِ الشرطيةَ CASE، IF-THEN-ELSE، والعباراتِ التكراريةَ DO، FOR، REPEAT، WHILE، وعبارة الانتقال GOTO.,19,16|1111|1626|2294
1382,control strip,1 شريط تحكم ، 2 شريط تحكم,"1- أداةٌ لمعايرة المعدّات، تُستخدَمُ لتحديد التصحيحات اللازمة لاسترجاع دقة الضبط، وذلك بمقارنة قيم معطيات مسجلة بقيم معروفة.
2- نافعةٌ utility تَجمعُ طرقاً مختصرةً لعناصر أو معلومات متواترة الاستخدام (مثل الوقت، ومستوى طاقة البطارية، وعناصر سطح المكتب، والبرامج) في مكان يسهل الوصول إليه.",17,4346
