term_id,term,term_url,ar,cs,de,en,es,fr,it,ja,ko,nl,pl,pt,sr,sv,zh
103-05-25,logarithmic decrement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-25,التناقص اللوغارتمى,logaritmický dekrement,"logarithmisches Dekrement, n",logarithmic decrement,decremento logarítmico,"décrément logarithmique, m",decremento logaritmico,対数減衰率,대수 감쇠율,"logaritmische afname, f",dekrement logarytmiczny,decremento logarítmico,"логаритамско опадање, с јд",logarimiskt dekrement,对数衰减量
103-05-26,time constant,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-26,الثابت الزمنى,časová konstantačasový parametr,"Zeitkonstante, f",time constant,constante de tiempo,"constante de temps, f",costante di tempo,時定数,시상수,"tijdconstante, f",stała czasowa,constante de tempo,"временска константа, ж јд",tidkonstant,时间常数
103-05-27,"synchronous, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-05-27,متزامن,synchronní,"synchron, Adjektiv","synchronous, adj",síncrono,"synchrone, adj",sincrono,"同期の, 形容詞","동기, 형용사","synchroon, adj",synchroniczny,"síncrono, adj","синхрони, придев",synkron,同步的
103-06-01,period,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-06-01,دورة,perioda,"Periode, f",period,Periodo,"période, f",periodo,周期,주기,"periode, f",okres,período,"периода, ж јд","svängningstid, period",周期
103-06-02,frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-06-02,تردد,frekvencekmitočet,"Frequenz, f",frequency,Frecuencia,"fréquence, f",frequenza,周波数,주파수,"frequentie, f",częstotliwość,frequência,"фреквенција, ж јд",frekvens,频率
103-06-03,"alternating, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-06-03,مترددة,střídavý,"alternierend, AdjektivWechsel-, Präfix","alternating, adj",alterno,"alternatif, adj",alternata,"交代, 形容詞","교번, 형용사","alternerend, adjwissel-, voorvoegsel",przemiennyzmienny (termin niezalecany w tym znaczeniu),"alternado, adj","наизменични, придев","växlande, svängande",交变的
103-06-04,symmetrical alternating quantity,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-06-04,كمية(مترددة)متماثلةكمية متماثلة,symetrická střídavá veličinasymetrická veličina,"symmetrische Wechselgröße, fsymmetrisch alternierende Größe, f",symmetrical alternating quantitysymmetrical quantity,magnitud alterna simétrica,"grandeur alternative symétrique, fgrandeur symétrique, f",grandezza (alternata) simmetrica,対称的変化量対称的量,대칭적 변화량,"symmetrische wisselgrootheid, f",wielkość przemienna symetrycznawielkość symetryczna,grandeza alternada simétricagrandeza simétrica,"симетрична наизменична величина, ж јдсиметрична величина, ж јд",symmetrisk storhetsymmetriskt svängande storhet,对称交变量对称量
103-06-05,direct component,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-06-05,المركبة المباشرة,stejnosměrná složka,"Gleichanteil, m",direct component,componente continua,"composante continue, f",componente continua,直接振動,직류 성분,"directe component, m",składowa stała,componente contínua,"константна компонента, ж јд",konstant komponent,直流分量
103-06-06,alternating component,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-06-06,محتوى مترددمحتوى متموج,střídavá složkaobsah zvlnění,"Wechselanteil, m",alternating componentripple content,componente alterna,"composante alternative, fondulation, f",componente alternataondulazione,交代振動リップル成分,교류 성분리플 성분,"wisselcomponent, m",składowa przemienna,componente alternadaondulação,"наизменична компонента, ж јдталасаста компонента, ж јд",växlande komponent,交流分量纹波含量
103-06-07,"pulsating, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-06-07,نابض,pulzující,"Misch-, Präfixpulsierend, Adjektiv","pulsating, adj",ondulada,"ondulé, adj",pulsante,"脈動, 形容詞","맥동, 형용사","pulserend, adj",pulsującytętniący,"ondulado, adj","пулсирајући, придев",pulserande,脉冲的
103-06-08,positive half-wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-06-08,نصف الموجة الموجب,kladná půlvlna,"positive Halbschwingung, fpositive Halbwelle, f",positive half-wave,semionda positiva,"alternance positive, f",mezzonda positiva,正の半波,양 반파,"positieve halve golf, m, f",półfala dodatnia,alternância positiva,"позитивна полупериода, ж јд",positiv halvvåg,正半波
103-06-09,negative half-wave,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-06-09,نصف الموجة السالب,záporná půlvlna,"negative Halbschwingung, fnegative Halbwelle, f",negative half-wave,semionda negativa,"alternance négative, f",mezzonda negativa,負の半波,음 반파,"negatieve halve golf, m, f",półfala ujemna,alternância negativa,"негативна полупериода, ж јд",negativ halvvåg,负半波
103-06-10,rectified value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-06-10,قيمة موحدة متوسط قيمة مطلقة,usměrněná hodnotastřední absolutní hodnota,"Gleichrichtwert, m",rectified valueaverage absolute value,valor rectificado,"valeur redressée, fvaleur moyenne absolue, f",valore rettificatovalore medio assoluto,整流値絶対値平均,정류값평균 절댓값,"gelijkgerichte waarde, f",wartość wyprostowanawartość średnia bezwzględna,valor rectificadovalor médio absoluto,"средња апсолутна вредност, ж јдсредња исправљена вредност, ж јд",genomsnittligt absolutvärdelikriktat värde,整流值平均绝对值
103-06-11,pulsating factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-06-11,المعامل النبضى,pulzační činitelpulzační faktor,"Mischfaktor, m",pulsating factor,factor de rizado,"taux d'ondulation, m",fattore di ondulazione,脈動率,맥동률,"rimpelfactor, m","współczynnik pulsacji, mwspółczynnik tętnienia, m",fator de ondulação,"фактор пулсирања, м јд",pulseringsfaktor,脉冲因数
103-06-12,RMS-ripple factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-06-12,القيمة الفعالة لمعامل التموجالمحتوى النموذجى النسبى,zvlněníčinitel zvlnění,,RMS-ripple factorrelative ripple content,factor de rizado eficaz,"taux d'ondulation efficace, m",valore quadratico medio di ondulazionefattore di ondulazione efficace,実効値脈動率,rms 맥동률,"efectieve rimpelfactor, m","współczynnik pulsacji wartości skutecznej, mwspółczynnik tętnienia wartości skutecznej, m",fator de ondulação eficaz,"ефективна вредност фактора таласања, ж јдрелативна таласаста компонента, ж јд",relativt pulseringsinnehålleffektiv pulseringsfaktor,方均根纹波因数相对纹波含量
103-06-13,peak-ripple factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-06-13,أقصى عامل تموجىأقصى تشوه,vrcholové zkreslení,"absolute Welligkeit, frelative Schwingungsweite, f",peak-ripple factorpeak distortion,factor de rizado de cresta,"taux d'ondulation de crête, m",fattore di ondulazione di piccodistorsione di picco,ピーク－リップル率ピークひずみ,첨두 맥동률,"piekrimpelfactor, m",współczynnik pulsacji wartości szczytowejwspółczynnik tętnienia wartości szczytowej,factor de ondulação de pico,"вршни фактор таласности, м јдвршна дисторзија, ж јд",topp-till-botten-pulseringsfaktortoppvärdesdistortion,峰值纹波因数峰失真
103-06-14,form factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-06-14,العامل الشكلى,činitel tvaru,"Formfaktor, m",form factor,factor de forma,"facteur de forme, m",fattore di forma,波形率,형상률,"vormfactor, m","współczynnik kształtu, m",fator de forma,"фактор облика, м јд",formfaktor,形状因数
103-06-15,peak factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-06-15,أقصى معامل,vrcholový činitel,"Scheitelfaktor, m",peak factor,factor de cresta,"facteur de crête, m",fattore di picco,波高率,첨두율,"piekfactor, m","współczynnik szczytu, m",fator de pico,"вршни фактор, м јд",toppfaktor,峰值因数
103-06-16,beat,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-06-16,ضربة,rázyzázněje,"Schwebung, f",beat,batimiento,"battement, m",battimento,うなり,맥놀이,"zwelling, f",dudnienie,batimento,"избијање, с јд",svävning,拍
103-06-17,beat frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-06-17,تردد تضاربى,frekvence rázů,"Schwebungsfrequenz, f",beat frequency,frecuencia de batimiento,"fréquence de battement, f",frequenza di battimento,うなり振動数,맥놀이 주파수,"zwellingsfrequentie, f",częstotliwość dudnienia,frequência de batimento,"фреквенција избијања, ж јд",svävningsfrekvens,拍频
103-06-18,hertz,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-06-18,,hertz,"Hertz, n",hertz,,"hertz, m",,ヘルツ,,"Hertz, m","herc, m",hertz,,,赫兹
103-07-01,"sinusoidal, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-01,جيبيه,sinusoidální,"sinusförmig, Adjektiv","sinusoidal, adj",sinusoidal,"sinusoïdal, adj",sinusoidale,"正弦波の, 形容詞","정현, 형용사","sinusoïdaal, adjsinusvorming, adj",sinusoidalny,"sinusoidal, adj","синусни, придев",sinusformad,正弦的
103-07-02,amplitude,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-02,سعة,amplituda,"Amplitude, f",amplitude,amplitud,"amplitude, f",ampiezza,振幅,진폭,"amplitude, f",amplituda,amplitude,"амплитуда, ж јд",amplitud,振幅
103-07-03,angular frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-03,تردد زاوىنابض,úhlová frekvenceúhlový kmitočetpulzatance,"Kreisfrequenz, fPulsatanz, fWinkelfrequenz, f, (abgelehnt)",angular frequencypulsatance,Pulsación,"pulsation, f",frequenza angolarepulsazione,角振動数角周波数,각 주파수,"hoekfrequentie, f",pulsacjaczęstotliwość kątowa (termin niezalecany),frequência angularpulsação,"кружна фреквенција, ж јд",vinkelfrekvens,角频率角速度
103-07-04,phase,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-04,طورطور لحظى,fázeokamžitá fáze,"Phasenwinkel, mAugenblicksphase, f",phaseinstantaneous phase,fase,"phase, fphase instantanée, f",fasefase istantanea,位相瞬時位相,위상,"fase, fogenblikkelijke fase, f",fazafaza chwilowa,fasefase instantânea,"фаза, ж јдтренутна фаза, ж јд",momentan fasfas,相位瞬时相位
103-07-05,initial phase,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-05,طور ابتدائىزاوية الطور,počáteční fázefázový úhel,"Nullphasenwinkel, m",initial phasephase angle,fase inicial,"phase à l'origine, fphase origine, f",fase inizialeangolo di fase,初期位相位相角,초기 위상,"beginfase, f",faza początkowa,fase inicialfase na origemângulo de fase,"почетна фаза, ж јдфазни угао, м јд",fasvinkelbegynnelsefas,初相位相位角
103-07-06,phase difference,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-06,اختلاف طور,fázový rozdíl,"Phasenverschiebung, f",phase difference,diferencia de fase,"différence de phase, fdéphasage, m",differenza di fasesfasamento,位相差,위상차,"faseverschil, n",przesunięcie fazowe,diferença de fasedesfasagem,"фазна разлика, ж јд","fasdifferens, fasförskjutning",相位差
103-07-07,phase lead,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-07,طور متقدمتقدم,fázový předstihpředstih,"Phasen-Voreilwinkel, m",phase leadlead,adelanto de fase,"avance de phase, f",anticipo di fase,位相の進み進み,위상 도입부,"voorijlend faseverschil, n",wyprzedzenie fazowe,avanço de fase,"фазно предњачење, с јдпредњачење, с јд",positiv fasdifferens,相位超前超前
103-07-08,phase lag,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-08,طور متأخرتأخر,fázové zpožděnízpoždění,"Phasen-Nacheilwinkel, m",phase laglag,retraso de fase,"retard de phase, m",ritardo di fase,位相遅れ遅れ,위상 지연,"naijlend faseveschil, nfasevertraging, f",opóźnienie fazowe,atraso de fase,"фазно заостајање, с јдзаостајање, с јд",negativ fasdifferens,相位滞后滞后
103-07-09,"in phase, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-09,تماثل الطور,ve fázi,"gleichphasig, adjin Phase, adj","in phase, adj",en fase,"en phase, adj",in fasefasato,同相の,"같은 위상, 형용사","in fase, adjgelijkfasig, adj","w fazie, adj","em fase, adj","у фази, ж јд",i fas,同相的
103-07-10,"in quadrature, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-10,متعامدان فى الطور,o čtvrt fáze,"in Quadratur, adj","in quadrature, adj",en cuadratura,"en quadrature, adj",in quadratura (di fase),直交の,"직교 위상, 형용사","in kwadratuur, adj","w kwadraturze, adj","em quadratura, adj","у квадратури, ж јд",med fasdifferensen π/2,正交的
103-07-11,"in opposition, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-11,متضادان فى الطور,v protifázi,"gegenphasig, adj","in opposition, adj",en oposición,"en opposition, adj",in opposizione (di fase),反対の,"대립 위상, 형용사","in oppositie, adjtegenfasig, adj","w przeciwfazie, adj","em oposição, adj","у опозицији, ж јд",i motfas,反相的
103-07-12,instantaneous complex value,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-12,قيمة لحظية مركبةالطور الدوارالتمثيل المركب للقيمة الجيبية,"okamžitá komplexní hodnotakomplexní reprezentace, (sinusoidální veličiny)","rotierender Amplitudenzeiger, mDrehzeiger, m","instantaneous complex valuerotating phasorcomplex representation, <of a sinusoidal quantity>",valor instantáneo complejo,"valeur instantanée complexe, fphaseur tournant, mreprésentation complexe, <d'une grandeur sinusoïdale> f",valore istantaneo complessofasore (rotante)rappresentazione complessa (di una grandezza sinusoidale),"瞬時複素数回転位相ベクトル複素表現, <正弦量の>",순시 복소값,"ogenblikkelijke complexe waarde, fdraaiende fasor, m",fazor wirującywartość chwilowa zespolonareprezentacja zespolona (wielkości sinusoidalnej),valor instantâneo complexofasor rotativorepresentação complexa (de uma grandeza complexa),"тренутна комплексна вредност, ж јдобртни фазор, м јдкомплексно представљање, <синусне величине> с јд",komplex representation (av en sinusformad storhet)roterande visaremomentant komplext värde,"瞬时复值旋转相量复表示, <一个正弦量的>"
103-07-13,complex amplitude,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-13,السعة المركبةسعة الطور,komplexní amplitudafázor amplitudy,"Amplitudenzeiger, m",complex amplitudeamplitude phasor,amplitud compleja,"amplitude complexe, fphaseur d'amplitude, m",ampiezza complessamodulo del fasore,複素振幅振幅位相ベクトル,복소 진폭,"complexe amplitudeamplitudefasor, m",fazor amplitudowyamplituda zespolona,amplitude complexafasor de amplitude,"комплексна амплитуда, ж јдамплитудски фазор, м јд",komplex amplitudamplitudvisare,复振幅振幅相量
103-07-14,phasor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-14,الطورالقيمة المركبة الفعالة للطور,fázorkomplexní efektivní hodnota,"Zeiger, mEffektivwertzeiger, m",phasorcomplex RMS value,fasor,"phaseur, mvaleur efficace complexe, f",fasorevalore efficace complesso,位相ベクトル,위상자,"fasor, mcomplexe RMS-waarde, f","fazor, mwartość skuteczna zespolona, fTERMIN NIEZALECANY: wskaz, m",fasorvalor eficaz complexo,"фазор, м јдкомплексна ефективна вредност, ж јд",komplext effektivvärdevisare,相量复方均根值
103-07-15,space phasor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-15,الطور الفضائى,prostorový fázor,"Raumzeiger, <eines rotierenden sinusförmigen Feldes> m",space phasor,fasor espacial,"phaseur spatial, m",fasore spaziale,空間位相ベクトル,공간 위상자,"ruimtefasor, m",fazor przestrzenny,fasor espacial,"просторни фазор, м јд",rumsvisare,空间相量
103-07-16,complex angular frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-16,التردد الزاوى المركبمركب نبضى,komplexní úhlová frekvencekomplexní pulzatance,"komplexe Kreisfrequenz, f",complex angular frequencycomplex pulsatance,pulsación compleja,"pulsation complexe, f",frequenza angolare complessapulsazione complessa,複素角振動数,복소 각속도,"complexe hoekfrequentie, f",pulsacja zespolonaczęstotliwość kątowa zespolona (termin niezalecany),frequência angular complexapulsação complexa,"комплексна кружна фреквенција, ж јд",komplex vinkelfrekvens,复角频率复角速度
103-07-17,growth coefficient,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-17,معامل النمو,koeficient růstu,"Wachstumskoeffizient, m",growth coefficient,factor de crecimiento,"coefficient d'accroissement, m",coefficiente di accrescimento,増大係数,증대계수,"groeicoëfficiënt, m",współczynnik narastania,coeficiente de crescimento,"коефицијент пораста, м јд",tillväxtkoefficient,增长系数
103-07-18,Fourier series,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-18,متسلسلة فورير,Fourierova řada,"Fourier-Reihe, f",Fourier series,serie de Fourier,"série de Fourier, f",serie di Fourier,フーリエ級数,푸리에 급수,"Fourierreeks, f",szereg Fouriera,série de Fourier,"Фуријеов ред, м јд",fourierserie,傅里叶级数
103-07-19,fundamental component,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-19,المركبة الاساسيةاساسى,základní složka,"Grundschwingung, f",fundamental componentfundamental,componente fundamental,"fondamental, mcomposante fondamentale, f",componente fondamentalefondamentale,基本振動,기본 성분,"grondgolf, m, f",składowa podstawowa,componente fundamentalfundamental,"основна компонента, ж јд",grundton,基波分量基波
103-07-20,reference fundamental component,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-20,المركبة الاساسية المرجعية,referenční základní složka,"Referenz-Grundschwingung, f",reference fundamental component,componente fundamental de referencia,"composante fondamentale de référence, f",componente fondamentale di riferimento,基準基本振動,기준 기본 성분,"referentiegrondgolf, m, f",składowa podstawowa odniesienia,componente fundamental de referência,"референтна основна компонента, ж јд",referensgrundton,基准基波分量
103-07-21,fundamental frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-21,التردد الاساسى,základní frekvencezákladní kmitočet,"Grundfrequenz, f",fundamental frequency,frecuencia fundamental,"fréquence fondamentale, f",frequenza fondamentale,基本振動数,기본 주파수,"grondfrequentie, ffundamentele frequentie, f",częstotliwość podstawowa,frequência fundamental,"основна фреквенција, ж јд",grundfrekvens,基波频率
103-07-22,reference fundamental frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-22,التردد المرجعى الاساسى,referenční základní frekvencereferenční základní kmitočet,"Referenz-Grundfrequenz, f",reference fundamental frequency,frecuencia fundamental de referencia,"fréquence fondamentale de référence, f",frequenza fondamentale di riferimento,基準基本振動数,기준 기본 주파수,"referentiegrondfrequentie, f",częstotliwość podstawowa odniesienia,frequência fundamental de referência,"референтна основна фреквенција, ж јд",referensgrundfrekvens,基准基波频率
103-07-23,fundamental factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-23,المعامل الاساسىالمحتوى الاساسى النسبى,fundamentální činitelfundamentální faktorrelativní fundamentální činitelrelativní fundamentální faktor,"Grundschwingungsgehalt, m",fundamental factorrelative fundamental content,tasa de fundamental,"taux de fondamental, m",tasso della fondamentalecontenuto relativo della fondamentale,基本波率相対基本含有率,기본파 율,"grondfrequentieaandeel, n","udział składowej podstawowej, m",fator fundamental,"основни фактор, м јдрелативно основни садржај, м јд",relativ fundamentalfaktor,基波因数相对基波含量
103-07-24,harmonic order,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-24,الرتبة التوافقيةرقم توافقى,řád harmonickéčíslo harmonické,"Ordnungszahl, <einer Schwingung> f",harmonic orderharmonic number,orden de armónico,"rang harmonique, m",ordine di un'armonicanumero di un'armonica,高調波次数調和次数,고조파 차수,"harmonische rangorde, m, f",rząd harmonicznej,ordem harmónica,"ред хармоника, м јд",övertonsnummer,谐波次数
103-07-25,harmonic component,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-25,المركبة التوافقيةتوافق,harmonická složkaharmonická,"Oberschwingung, f",harmonic componentharmonic,armónico,"harmonique, mcomposante harmonique, f",componente armonicaarmonica,高調波成分調波,고조파 성분,"harmonische component, mharmonische, m, f",składowa harmonicznaharmoniczna,harmonicacomponente harmónica,"компонента хармоника, ж јдхармоник, м јд",överton,谐波分量
103-07-26,harmonic frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-26,التردد التوافقى,frekvence harmonické,"Oberschwingungsfrequenz, f",harmonic frequency,frecuencia armónica,"fréquence harmonique, f",frequenza (di un') armonica,高調波振動数,고조파 주파수,"harmonische frequentie, f",częstotliwość harmoniczna,frequência harmónica,"фреквенција хармоника, ж јд",övertonsfrekvens,谐波频率
103-07-27,interharmonic component,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-27,المركبة التوافقية المتداخلة,meziharmonická složka,"zwischenharmonische Schwingung, f",interharmonic component,Interarmónico,"interharmonique, mcomposante interharmonique, f",componente interarmonica,次数間振動,고조파 간 성분,"tussenharmonische, m, finterharmonische component, m",składowa interharmonicznainterharmoniczna,inter-harmónicacomponente inter-harmónica,"компонента међухармоника, ж јд",interharmonisk delton,间谐波分量
103-07-28,interharmonic frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-28,التردد التوافقى المتداخل,meziharmonická frekvence,"zwischenharmonische Frequenz, f",interharmonic frequency,frecuencia interarmónica,"fréquence interharmonique, f",frequenza interarmonica,次数間振動数,고조파 간 주파수,"interharmonische frequentie, f",częstotliwość interharmoniczna,frequência inter-harmónica,"фреквенција међухармоника, ж јд",interharmonisk frekvens,间谐波频率
103-07-29,sub-harmonic component,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-29,مركبة تحت التوافقية,subharmonická složka,"Unterschwingung, fSubharmonische, f",sub-harmonic component,subarmónico,"sous-harmonique, mcomposante sous-harmonique, f",componente subarmonica,低調波振動,부조파 성분,"subharmonische component, msubharmonische, m, f",składowa podharmonicznapodharmoniczna,sub-harmónicacomponente sub-harmónica,"компонента субхармоника, ж јд",subharmonisk delton,次谐波分量
103-07-30,sub-harmonic frequency,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-30,تردد تحت التوافقى,subharmonická frekvence,"Unterschwingungsfrequenz, fsubharmonische Frequenz, f",sub-harmonic frequency,frecuencia subarmónica,"fréquence sous-harmonique, f",frequenza subarmonica,低調波振動数,부조파 주파수,"subharmonische frequentie, f",częstotliwość podharmoniczna,frequência sub-harmónica,"фреквенција субхармоника, ж јд",subharmonisk frekvens,次谐波频率
103-07-31,harmonic content,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-31,المحتوى التوافقى,harmonický obsah,"Oberschwingungsanteil, m",harmonic content,residuo armónico,"résidu harmonique, m",contenuto armonicoresiduo armonico,高調波成分,고조파 함유량,"harmonisch aandeel, n",pozostałość harmonicznazawartość harmonicznych,resíduo harmónico,"садржај хармоника, м јд",övertonsinnehåll,谐波含量
103-07-32,total harmonic factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-07-32,عامل التوافق الكلى,celkový činitel harmonickýchcelkový činitel zkreslení,"Oberschwingungsgehalt, mKlirrfaktor, mTHF",total harmonic factor,tasa de armónicos,"taux d'harmoniques, mfacteur harmonique total, m",fattore armonico totale,総合高調波含有率,총 고조파율,"totale harmonische factor, m","współczynnik zawartości harmonicznych, mudział zawartości harmonicznych, m",fator harmónico totalrazão harmónica total,"укупни фактор хармоника, м јд",total övertonsfaktor,总谐波因数
103-08-01,"random, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-08-01,عشوائى,náhodný,"zufällig, Adjektiv","random, adj",aleatorio,"aléatoire, adj",casualealeatorio,"無作為, 形容詞","무작위, 형용사","willekeurig, adj",losowystochastyczny,"aleatório, adj","случајни, придев",slumpmässig,随机的
103-08-02,probability,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-08-02,الإحتمال,pravděpodobnost,"Wahrscheinlichkeit, f",probability,Probabilidad,"probabilité, f",probabilità,確率,확률,"kans, fwaarschijnlijkheid, f",prawdopodobieństwo,probabilidade,"вероватноћа, ж јд",sannolikhet,概率
103-08-03,random variable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-08-03,متغير عشوائى,náhodná proměnná,"Zufallsvariable, f",random variable,variable aleatoria,"variable aléatoire, f",variabile aleatoriavariabile casuale,確率変数,확률 변수,"toevalsvariabele, f",zmienna losowazmienna stochastyczna,variável aleatória,"случајна променљива, ж јд",stokastisk variabel,随机变量
103-08-04,random function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-08-04,دالة عشوائية,náhodná funkce,"Zufallsfunktion, f",random function,función aleatoria,"fonction aléatoire, f",funzione aleatoriafunzione casuale,確率関数,확률 함수,"toevalsfunctie, f",funkcja losowafunkcja stochastyczna,função aleatória,"случајна функција, ж јд",stokastisk funktion,随机函数
103-08-05,stationary random function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-08-05,دالة عشوائية مستقرة,stacionární náhodná funkce,"stationäre Zufallsfunktion, f",stationary random function,función aleatoria estacionaria,"fonction aléatoire stationnaire, f",funzione aleatoria stazionariafunzione casuale stazionaria,定常ランダム関数,정상 확률 함수,"stationaire toevalsfunctie, f",funkcja losowa stacjonarnafunkcja stochastyczna stacjonarna,função aleatória estacionária,"стабилна случајна функција, ж јд",stationär stokasisk funktion,平稳随机函数
103-08-06,"ergodic, adj",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-08-06,دالة فرضية مطابقة للنتائج الاحصائية,ergodický,"ergodisch, Adjektiv","ergodic, adj",Ergódico,"ergodique, adj",ergodico,"エルゴード的, 形容詞","에르고드, 형용사","ergodisch, adj",ergodyczny,"ergódico, adj","ергодички, придев",ergodisk,遍历的
103-08-07,probability distribution,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-08-07,توزيع احتمالى,rozdělení pravděpodobnosti,"Wahrscheinlichkeitsverteilung, f",probability distribution,ley de probabilidad,"loi de probabilité, f",distribuzione di probabilità,確率分布,확률 분포,"kansverdeling, f",rozkład prawdopodobieństwa,distribuição de probabilidade,"расподела вероватноће, ж јд",sannolikhetsfördelning,概率分布
103-08-08,distribution function,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-08-08,دالة التوزيع,rozdělovací funkcedistribuční funkce,"Verteilungsfunktion, f",distribution function,función de distribución,"fonction de répartition, f",funzione di distribuzione,分布関数,분포 함수,"verdelingsfunctie, f",dystrybuantafunkcja rozkładu prawdopodobieństwa,função de distribuição,"функција расподеле, ж јд",fördelningsfunktion,分布函数
103-08-09,probability density,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=103-08-09,الكثافة الإحتماليةدالة الكثافة الاحتمالية,hustota pravděpodobnostifunkce hustoty pravděpodobnostiPDF,"Wahrscheinlichkeitsdichte, fWahrscheinlichkeitsdichtefunktion, f",probability densityprobability density functionPDF,densidad de probabilidad,"densité de probabilité, ffonction de densité de probabilité, f",densità di probabilitàfunzione densità di probabilitàPDF,"確率密度確率密度関数PDF, （略語）",확률 밀도,"kansdichtheid, f",gęstość prawdopodobieństwaPDF (akronim),densidade de probabilidadefunção de densidade de probabilidade,"густина вероватноће, ж јдфункција густине вероватноће, ж јдPDF",sannolikhetstäthetsannolikhetstäthetfunktion,概率密度概率密度函数PDF
