term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,mn,no,pl,pt,sr,sv,zh
601-02-26,impedance earthed (neutral) system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-26,نظام مؤرض خلال معاوقة,"Netz mit Neutralpunkt-Impedanzerdung, n",impedance earthed (neutral) system,red de neutro no rígidamente a tierra,impedanssilla maadoitettu verkko,"réseau à neutre non directement à la terre, m",sistema con neutro non direttamente a terra,インピーダンス接地（中性）方式,임피던스 접지 계통,эсэргүүцлээр газардуулсан саармаг цэгтэй систем,system med impedansjorda nøytralpunkt,sieć z punktem neutralnym uziemionym przez impedancję,rede de neutro não directamente à terra,"систем уземљен преко импедансе, м јд",impedansjordat system,中性点阻抗接地系统
601-02-27,resonant earthed (neutral) system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-27,نظام تأريض رنان,"Netz mit Erdschlusskompensation, ngelöschtes Netz, n",resonant earthed (neutral) systemarc-suppression-coil-earth (neutral) system,red compensada por bobina de extinción,sammutettu verkko,"réseau compensé par bobine d'extinction, m",rete compensata con bobina d'estinzione,共振接地（中性）方式,공진 접지 계통,"тэгшитгэсэн газардуулгатай, саармаг цэгтэй системнум унтраах ороомгоор газардуулсан, саармаг цэгтэй систем",system med spolejorda nøytralpunkt,sieć skompensowana,rede compensada por bobina de extinção,"резонантно уземљен систем, м јдсистем уземљен преко намотаја за гашење лука, м јд",spoljordat system,中性点谐振接地系统
601-02-28,circuit (in electric power systems),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-28,دارة كهربائية,"Stromkreis (in Elektrizitätsversorgungsnetzen), m",circuit (in electric power systems),circuito (en una red de energía eléctrica),…..,circuit (dans un réseau d'énergie électrique) m,circuito,"回路, <電力系統の>回線, <基幹電力系統の>","회로, <전기 전력 시스템>계통, <전기 전력 시스템>회선, <전기 전력 시스템>","хэлхээ, <цахилгаан эрчим хүчний системийн>",krins (som kan koplast ut),tor linii (elektroenergetycznej),circuito (num sistema de energia eléctrica),"коло,  <у електроенергетском систему> с јд",reläskyddad ledning,"回路, <电力系统中的>"
601-02-29,line tap,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-29,نقطة المأخذ للخطنقطة تفريغ,"Abzweigpunkt, mT-Punkt, m",line taptee point,punto de derivación,…..,"point de piquage, m",derivazione a T,分岐点,선로 탭,шугамын салаалалтэхлэлийн цэг,forgreningspunkt,punkt rozgałęźny,ponto de derivação,"вод за гранање, м јд",greningspunkt,分接点T接点
601-02-30,line section,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-30,جزء من خط,"Leitungsabschnitt, m",line section,sección de línea,…..,"section de ligne, f",sezione di linea,送電区分,전선로 섹션,шугамын хэсэг,lineseksjon,odcinek linii (elektroenergetycznej),secção de linha,"секција вода, ж јд",ledningssektion,线路段
601-02-31,line segment,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-31,مقطع خط,"Leitungssegment, n",line segment,segmento de línea,…..,"segment de ligne, m",tronco di linea,送電部分,선로 분리,шугамын сегмент,linesegment,segment linii (elektroenergetycznej),segmento de linha,"одсечак вода, м јд",ledningssegment,线路分隔段
601-02-32,interchange point,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-32,نقطة التبادل,"Austauschpunkt, m",interchange point,punto de intercambio,…..,"point d'échange, m",punto di scambio,交換点,교환점,харилцан солилцох цэг,utvekslingspunkt,punkt wymiany (energii elektrycznej),ponto de permuta,"тачка размене, ж јд",avräkningspunkt,交接点
601-02-33,delivery point,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-02-33,نقطة التزويد,"Versorgungspunkt, m",delivery point,punto de suministro,…..,"point de livraison, m",punto di consegna,分配点,분배점,нийлүүлэлтийн цэг,leveringspunkt,punkt dostawy (energii elektrycznej),ponto de entrega,"тачка испоруке, ж јд",leveranspunkt,分界点
601-03-01,power station,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-03-01,محطة توليد الطاقة الكهربائيةمحطة انتاج الكهرباء,"Kraftwerk, n",power stationelectrical generating station,central eléctrica,voimalaitos,"centrale électrique, f",centrale elettrica,発電所,발전소전력소,цахилгаан станц,kraftverk,elektrownia,central eléctrica,"електрана, ж јд",kraftstation,电站发电厂
601-03-02,substation (of a power system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-03-02,محطة محولات كهربيةمحطة تحويل,"Station (eines Netzes), f",substation (of a power system),subestación (de una red eléctrica),sähköasema,poste (d'un réseau électrique) m,"stazione, cabina (di una rete elettrica)",変電所,"변전소, <전력 시스템>","дэд станц, <цахилгаан эрчим хүчний системийн>",sekundærstasjon,stacja elektroenergetyczna,posto (de uma rede eléctrica),"подстаница, <електроенергетског система> ж јд",transformatorstation,"变电站, <电力系统的>"
601-03-03,electric line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-03-03,خط كهربائى,"elektrische Leitung, fLeitung, <zur Übertragung elektrischer Energie> f","electric lineline, <for transfer of electric energy>",línea eléctrica,sähköjohto,"ligne électrique, fligne, <pour le transfert de l'énergie électrique> f",linea elettrica,電力線路,전기 선로,цахилгааны шугам,kraftline,"linia elektroenergetyczna, f","linha elétricalinha, <para transferência de energia elétrica>","електрични вод, м јд",kraftledning,电力线路
601-03-04,overhead line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-03-04,خط هوائي,"Freileitung, f",overhead line,línea aérea,ilmajohto,"ligne aérienne, f",linea aerea,架空送電線,가공 선로,цахилгаан дамжуулах агаарын шугамЦДАШ,luftline,linia elektroenergetyczna napowietrzna,linha aérea,"надземни вод, м јд",luftledning t,架空线路
601-03-05,underground cable,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-03-05,كابل أرضي,"Kabel, n",underground cable,línea subterránea,maakaapelimaakaapelijohto,"ligne souterraine, f",linea sotterranea,地下ケーブル,지중 케이블지하 케이블,кабелийн шугам,jordkabel,linia elektroenergetyczna kablowa,linha subterrânea,"подземни кабл, м јд",jordkabelledning,地下电缆
601-03-06,gas insulated line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-03-06,خط معزول بالغاز,"gasisolierte Leitung, f",gas insulated linegas insulated circuit (deprecated)GIC (deprecated),línea con aislamiento de gas,kaasueristeinen johto,"ligne à isolation gazeuse, f",linea a isolamento gassoso,ガス絶縁送電線,가스 절연 선로,хийн тусгаарлагатай шугам,gassisolert leidning,linia elektroenergetyczna o izolacji gazowej,linha com isolamento gasoso,"гасом изоловани вод, м јд",gasisolerad ledning,气体绝缘线路
601-03-07,overhead system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-03-07,نظام هوائي,"Freileitungsnetz, n",overhead system,red aérea,ilmajohtoverkko,"réseau aérien, m",rete aerea,架空系統,가공 시스템가공 전력 시스템,цахилгаан дамжуулах агаарын шугамын системЦДАШ-ын систем,luftnett,sieć napowietrzna,rede aérea,"надземна мрежа, ж јд",luftledningsnä,架空系统
601-03-08,underground system,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-03-08,نظام أرضي,"Kabelnetz, n",underground system,red subterránea,kaapeliverkkomaakaapeliverkko,"réseau souterrain, m",rete sotterranea,地下系統,지중 시스템지중 전력 시스템,кабелийн шугамын систем,jordkabelnett,sieć kablowa,rede subterrânea,"подземна мрежа, ж јд",jordkabelnät,地下系统
601-03-09,phase,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-03-09,طور (وجه),"Außenleiter, m",phase,fase,vaihe,"phase, f",fase,位相,상,фаз,fase,fazowy faza (termin niezalecany w tym znaczeniu),fase,"фаза, ж јд",fas,相
601-03-10,neutral,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-03-10,تعادلمحايد,…..,neutral,neutro,nolla,"neutre, m",neutro,中性,중성,саармаг цэг,nøytralleiar,neutralny,neutro,"нула, ж јд",nolledare,中性
601-03-11,pole (of an equipment),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-03-11,قطب  (جهاز ),"Pol (eines Gerätes), m",pole (of an equipment),polo (de un aparato),napalaitteen napa,pôle (d'un appareil) m,polo (di un apparecchio),極,"극, <장비>전주, <장비>비게, <장비>기둥, <장비>","туйл, <тоног төхөөрөмжийн>",pol,biegun (aparatu),pólo (de um aparelho),"пол, <опреме> м јд",pol,"极, <设备的>"
601-03-12,pole (of a DC system),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-03-12,قطب ( لنظام التيار المستمر ),"Pol (in einem Gleichstromnetz), m",pole (of a DC system),polo (de una red de corriente continua),napatasasähköjärjestelmän napa,pôle (d'un réseau à tension continue) m,polo (di una rete a corrente continua),極性,"극, <직류 시스템>전주, <직류 시스템>비계, <직류 시스템>기둥, <직류 시스템>","туйл, <тогтмол гүйдлийн системийн>",pol i likestraumsnett,biegun (sieci prądu stałego),pólo (de uma rede de tensão contínua),"пол, <једносмерног система> м јд",pol i likströmsnät,"极, <直流系统的>"
601-04-01,high-voltage DC link,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-04-01,وصلة نظام التيار المستمر  العالي الجهد,"HGÜ-Verbindung, f",high-voltage DC linkHVDC link,enlace de alta tensión continua,suurjännitteinen tasasähköyhteys,"liaison à haute tension continue, f",collegamento a corrente continua ad alta tensione,高圧直流リンク,고압 직류 링크,"өндөр хүчдэлтэй, тогтмол гүйдлийн цахилгаан дамжуулах шугам",høgspent likestraumstilkobling,połączenie wysokonapięciowe prądu stałego HVDC (akronim),ligação em alta tensão contínua,"високонапонска веза једносмерне струје, ж јд",högspänd likströmsförbindelse,高压直流输电HVDC输电
601-04-02,monopolar DC link,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-04-02,وصلة نظام التيار المستمر الاحادي القطب,"einpolige HGÜ-Verbindung, f",monopolar DC link,enlace de corriente monopolar,yksinapainen tasasähköyhteys,"liaison à tension continue unipolaire, f",collegamento a corrente continua unipolare,単極直流リンク,단극 직류 링크,"нэг туйлтай, тогтмол гүйдлийн цахилгаан дамжуулах шугам",einpola likestraumstilkopling,połączenie prądu stałego jednobiegunowe,ligação em tensão contínua unipolar,"једнополни вод једносмерне струје, м јд",monopolärt system,单极直流输电
601-04-03,bipolar DC link,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=601-04-03,وصلة نظام التيار المستمر الثنائي   القطبية,"zweipolige HGÜ-Verbindung, f",bipolar DC link,enlace de corriente bipolar,kaksinapainen tasasähköyhteys,"liaison à tension continue bipolaire, f",collegamento a corrente continua bipolare,双極直流リンク,양극 직류 링크,"хоёр туйлтай, тогтмол гүйдлийн цахилгаан дамжуулах шугам",topola likestraumstilkopling,połączenie prądu stałego dwubiegunowe,ligação em tensão contínua bipolar,"двополни вод једносмерне струје, м јд",bipolärt system,双极直流输电
