term_id,term,term_url,ar,de,en,es,fr,it,ja,ko,no,pl,pt,sv,zh
131-12-19,inductance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-19,محاثة,"Induktivität, f",inductance,inductancia,"inductance, f",induttanza,インダクタンス,인덕턴스,,"indukcyjność, f",indutânciaindutividade,,电感
131-12-20,differential inductance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-20,محاثة تفاضلية,"differentielle Induktivität, f",differential inductance,inductancia diferencial,"inductance différentielle, f",,微分インダクタンス,미분 인덕턴스,differensiell induktans,"indukcyjność różniczkowa, f",indutância diferencialindutividade diferencial,,微分电感
131-12-21,ideal voltage source,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-21,مصدر جهد مثالى,"ideale Spannungsquelle, f",ideal voltage sourceideal tension source,fuente ideal de tensión,"source idéale de tension, f",generatore ideale di tensione,理想電圧源,이상 전압원이상 장력원,ideell spenningskjelde,źródło idealne napięcia,fonte de tensão ideal,ideal spänningskälla,理想电压源
131-12-22,source voltage,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-22,جهد المصدر,"Quellenspannung, fABGELEHNT: elektromotorische Kraft, f (abgelehnt)",source voltagesource tensionDEPRECATED: electromotive force,tensión de fuentetensión de una fuenteDESACONSEJADO: fuerza electromotriz (desaconsejado),"tension de source, fDÉCONSEILLÉ: force électromotrice, f",tensione di sorgente,電圧源,원천 전압원천 장력,,napięcie źródłoweTERMIN NIEZALECANY: siła elektromotoryczna (deprecated),tensão de fonte,,电源电压拒用: 电动势 (拒用)
131-12-23,ideal current source,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-23,مصدر تيار مثالى,"ideale Stromquelle, f",ideal current source,fuente ideal de corriente,"source idéale de courant, f",generatore ideale di corrente,理想電流源,이상 전류원,ideell straumkjelde,źródło idealne prądu,fonte de corrente ideal,ideal strömkälla,理想电流源
131-12-24,source current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-24,تيار مصدر,"Quellenstrom, m",source current,corriente de fuente,"courant de source, m",generatore di corrente,電源電流,원천 전류,kjeldestraum,prąd źródłowy,corrente de fonte,källström,电源电流
131-12-25,independent source,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-25,مصدر مستقل,"unabhängige Quelle, f",independent source,fuente independiente,"source indépendante, f",generatore indipendente,独立電源,독립 전원,uavhengig kjelde,źródło niezależne,fonte independente,oberoende källa,独立源
131-12-26,controlled source,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-26,مصدر تحت السيطرة,"gesteuerte Quelle, f",controlled source,fuente controladafuente dependiente,"source dépendante, fsource commandée, f",generatore controllato,制御形電源,제어된 전원,styrd kjelde,źródło zależneźródło sterowane,fonte dependentefonte controlada,styrd källa,受控源
131-12-27,reluctant element,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-27,عنصر ممانع,"reluktantes Element, n",reluctant element,elemento reluctante,"élément réluctant, m",elemento con riluttanza,磁気抵抗素子,자기저항 소자,reluktant element,element reluktancyjny,elemento relutante,reluktanselement,磁阻元件
131-12-28,reluctance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-28,ممانعة حثية,"Reluktanz, fmagnetischer Widerstand, m",reluctance,reluctancia,"réluctance, f",riluttanza,リラクタンス,자기저항,,reluktancjaopór magnetyczny,relutância,,磁阻
131-12-29,permeance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-29,النفاذية,"Permeanz, fmagnetischer Leitwert, m",permeance,permeancia,"perméance, f",permeanza,パーミアンス,투자도,,permeancjaprzewodność magnetyczna,permeância,,磁导
131-12-30,coupling (in circuit theory),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-30,تقارن ( فى نظرية الدارة),"Kopplung (in der Netzwerktheorie), f",coupling (in circuit theory),acoplamiento (en teoría de circuitos),"couplage (1) (en théorie des circuits), m",accoppiamento (nella teoria dei circuiti),"結合, <回路理論における>","결합, <회로 이론>",kopling,sprzężenie (w teorii obwodów),"acoplamento, <em teoria de circuitos>",koppling,"耦合, <电路理论中>"
131-12-31,capacitive coupling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-31,تقارن سعوى,"kapazitive Kopplung, f",capacitive coupling,acoplamiento capacitivo,"couplage capacitif, m",accoppiamento capacitivo,容量性結合,용량 결합,kapasitiv kopling,sprzężenie pojemnościowe,acoplamento capacitivo,kapacitiv koppling,电容性耦合
131-12-32,capacitance matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-32,,"Kapazitätsmatrix, f",capacitance matrix,matriz de capacidades,"matrice des capacités, f",,キャパシタンス行列,전기용량 행렬,kapasitansmatrise,macierz pojemności,matriz de capacidades,,电容矩阵
131-12-33,inductive coupling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-33,اقتران حثيتقارن حثى,"induktive Kopplung, f",inductive coupling,acoplamiento inductivo,"couplage inductif, m",accoppiamento induttivo,誘導性結合,유도결합,induktiv kopling,"sprzężenie indukcyjne, n",acoplamento indutivo,induktiv koppling,电感性耦合感性耦合
131-12-34,inductance matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-34,,"Induktivitätsmatrix, f",inductance matrix,matriz de inductancias,"matrice des inductances, f",,インダクタンス行列,인덕턴스 행렬,induktansmatrise,macierz indukcyjności,matriz de indutânciasmatriz de indutividades,,电感矩阵
131-12-35,self-inductance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-35,محاثة ذاتية,"Selbstinduktivität, f",self-inductance,inductancia propia,"inductance propre, f",autoinduttanza,自己インダクタンス,자체 인덕턴스,sjølvinduktans,indukcyjność własna,indutância própriaindutividade própria,självinduktans,自感
131-12-36,mutual inductance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-36,محاثة تبادلية,"Gegeninduktivität, f",mutual inductance,inductancia mutua,"inductance mutuelle, f",mutua induttanza,相互インダクタンス,상호 인덕턴스,gjensidig induktans,indukcyjność wzajemna,indutância mútuaindutividade mútua,ömsesidig induktans,互感
131-12-37,permeance matrix,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-37,مصفوفة نفاذية,"Permeanzmatrix, f",permeance matrix,matriz de permeancias,"matrice des perméances, f",matrice delle permeanze,パーミアンス行列,투자도 행렬,permeansmatrise,macierz permeancji,matriz de permeâncias,permeansmatris,磁导矩阵
131-12-38,self-permeance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-38,نفاذية ذاتية,"Selbstpermeanz, f",self-permeance,permeancia propia,"perméance propre, f",autopermeanza,自己パーミアンス,자체 투자도,sjølvpermeans,permeancja własna,permeância própria,självpermeans,自磁导
131-12-39,mutual permeance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-39,نفاذية تبادلية,"gegenseitige Permeanz, f",mutual permeance,permeancia mutua,"perméance mutuelle, f",mutua permeanza,相互パーミアンス,상호 투자도,gjensidig permeans,permeancja wzajemna,permeância mútua,ömsesidig permeans,互磁导
131-12-40,leakage permeance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-40,نفاذية تسربية,"Streupermeanz, f",leakage permeance,permeancia de dispersión,"perméance de fuite, f",permeanza di dispersione,漏れパーミアンス,누설 투자도,lekkpermeans,permeancja rozproszenia,permeância de fuga,läckpermeans,漏磁导
131-12-41,inductive coupling factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-41,معامل تقارن حثىمعامل تقارن,"induktiver Koppelfaktor, mKoppelfaktor, m",inductive coupling factorcoupling factor,factor de acoplamiento inductivofactor de acoplamiento,"facteur de couplage inductif, mfacteur de couplage, m",fattore di accoppiamento induttivofattore di accoppiamento,誘導性結合係数結合係数,유도 결합 인자결합 인자,,współczynnik sprzężenia indukcyjnegowspółczynnik sprzężenia,fator de acoplamento indutivofator de acoplamento,,感应耦合因数耦合因数
131-12-42,inductive leakage factor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-42,معامل تسرب حثىمعامل تسرب,"induktiver Streufaktor, mStreufaktor, m",inductive leakage factorleakage factor,factor de dispersión inductivofactor de dispersión,"facteur de dispersion inductive, mfacteur de dispersion, m",fattore di dispersione induttivofattore di dispersione,誘導性漏れ係数漏れ係数,유도 누설 인자누설 인자,,współczynnik rozproszenia indukcyjnegowspółczynnik rozproszenia,fator de dispersão indutivo,,漏磁因数
131-12-43,impedance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-43,المعاوقةالمعاوقة المركبة,"Impedanz, fkomplexe Impedanz, f",impedancecomplex impedance,impedanciaimpedancia compleja,"impédance, fimpédance complexe, f",impedenzaimpedenza complessa,インピーダンス複素インピーダンス,임피던스복소 임피던스,,impedancjaimpedancja zespolona,impedânciaimpedância complexa,,阻抗复阻抗
131-12-44,apparent impedance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-44,معاوقة ظاهرية,"Scheinwiderstand, mScheinimpedanz, f",apparent impedance,impedancia aparente,"impédance apparente, f",impedenza apparente,皮相インピーダンス,겉보기 임피던스,tilsynelatande impedans,impedancja pozorna,impedância aparente,skenbar impedans,视在阻抗表观阻抗
131-12-45,resistance to alternating current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-45,مقاومة للتيار المترددالمقاومة,"Wirkwiderstand, mResistanz, <Verwandter Begriff: IEV 131-12-04> f",resistance to alternating currentresistance,resistencia en corriente alternaresistencia,"résistance en courant alternatif, frésistance, f",resistenza in corrente alternataresistenza,"交流に対する抵抗抵抗, <関連エントリー: IEV 131-12-04>",교류 저항저항,,rezystancja przy prądzie przemiennymrezystancja,resistência à corrente alternada,,"交流电阻电阻, <相关条目: IEV 131-12-04>"
131-12-46,reactance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-46,المفاعلة,"Blindwiderstand, mReaktanz, f",reactance,reactancia,"réactance, f",reattanza,リアクタンス,리액턴스,,reaktancja,reatância,,电抗
131-12-47,inductive reactance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-47,مفاعلة حثية,"induktive Reaktanz, f",inductive reactance,reactancia inductiva,"réactance inductive, f",reattanza induttiva,誘導性リアクタンス,유도 리액턴스,induktiv reaktans,reaktancja indukcyjna,reatância indutivaindutância,induktiv reaktans,感抗
131-12-48,capacitive reactance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-48,مفاعلة سعوية,"kapazitive Reaktanz, f",capacitive reactance,reactancia capacitiva,"réactance capacitive, fcapacitance, f",reattanza capacitiva,容量性リアクタンス,용량 리액턴스,kapasitiv reaktans,reaktancja pojemnościowa,reatância capacitivacapacitância,kapacitiv reaktans,容抗
131-12-49,loss angle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-49,زاوية الفقد,"Verlustwinkel, m",loss angle,ángulo de pérdidas,"angle de perte, mangle de pertes, m",angolo di perdita,損失角,손실각,,kąt strat,ângulo de perdas,,损耗角
131-12-50,impedance angle,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-50,زاوية معاوقة,"Impedanzwinkel, m",impedance angle,ángulo de impedancia,"angle d'impédance, m",angolo di impedenza,インピーダンス角,임피던스 각,impedansvinkel,kąt impedancji,ângulo de impedância,impedansvinkel,阻抗角
131-12-51,admittance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-51,السماحيةالسماحية المركبة,"Admittanz, fkomplexe Admittanz, f",admittancecomplex admittance,admitanciaadmitancia compleja,"admittance, fadmittance complexe, f",ammettenzaammettenza complessa,アドミタンス複素アドミタンス,어드미턴스복소 어드미턴스,,admitancjaadmitancja zespolona,admitânciaadmitância complexa,,导纳复导纳
131-12-52,apparent admittance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-52,سماحية ظاهرية,"Scheinleitwert, mScheinadmittanz, f",apparent admittance,admitancia aparente,"admittance apparente, f",ammettenza apparente,皮相アドミタンス,겉보기 어드미턴스,tilsynelatande admittans,admitancja pozorna,admitância aparente,skenbar admittans,视在导纳表观导纳
131-12-53,conductance for alternating current,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-53,الموصلية للتيار المترددالموصلية,"Wirkleitwert, mKonduktanz, <für Wechselstrom> f",conductance for alternating currentconductance,conductancia en corriente alternaconductancia,"conductance en courant alternatif, fconductance, f",conduttanza in corrente alternataconduttanza,"交流に対するコンダクタンスコンダクタンス, <関連エントリー: 131-12-06>",교류 컨덕턴스컨덕턴스,,konduktancja przy prądzie przemiennymkonduktancja,condutância em corrente alternadacondutância,,"交流电导电导, <相关条目: 131-12-06>"
131-12-54,susceptance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-54,تأثرية,"Blindleitwert, mSuszeptanz, f",susceptance,susceptancia,"susceptance, f",suscettanza,サセプタンス,서셉턴스,susceptans,susceptancja,suscetância,susceptans,电纳
131-12-55,inductive susceptance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-55,تأثرية حثية,"induktiver Blindleitwert, minduktive Suszeptanz, f",inductive susceptance,susceptancia inductiva,"susceptance inductive, f",suscettanza induttiva,誘導性サセプタンス,유도 서셉턴스,induktiv susceptans,susceptancja indukcyjna,suscetância indutiva,induktiv susceptans,感纳
131-12-56,capacitive susceptance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-56,تأثرية سعوية,"kapazitiver Blindleitwert, mkapazitive Suszeptanz, f",capacitive susceptance,susceptancia capacitiva,"susceptance capacitive, f",suscettanza capacitiva,容量性サセプタンス,용량 서셉턴스,kapasitiv susceptans,susceptancja pojemnościowa,suscetância capacitiva,kapacitiv susceptans,容纳
131-12-57,immittance,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-57,قبولية معاوقة,"Immittanz, f",immittance,immitancia,"immittance, f",immettenza,イミタンス,이미턴스,immittans,immitancja,imitância,immittans,导抗
131-12-58,input terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-58,طرف دخل,"Eingangspol, m",input terminal,borne de entradaterminal de entrada,"borne d'entrée, f",morsetto d'ingressoterminale d'ingresso,入力端子,입력 단자,inngangspol,końcówka wejściowa,terminal de entrada,ingångspol,输入端
131-12-59,output terminal,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-59,طرف خرج,"Ausgangspol, m",output terminal,borne de salidaterminal de salida,"borne de sortie, f",morsetto di uscitaterminale di uscita,出力端子,출력 단자,utgangspol,końcówka wyjściowa,terminal de saída,utgångspol,输出端
131-12-60,port,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-60,منفذ,"Tor, n",port,puerta,"accès, mporte, f",porta,ポート,단자쌍,port,wrotaport,porto,port,端口
131-12-61,input port,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-61,منفذ دخل,"Eingangstor, n",input port,puerta de entrada,"accès d'entrée, mporte d'entrée, f",porta d'ingresso,入力ポート,입력 단자쌍,inngangsport,wrota wejścioweport wejściowy,porto de entrada,ingångsport,输入端口
131-12-62,output port,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-62,منفذ خرج,"Ausgangstor, n",output port,puerta de salida,"accès de sortie, mporte de sortie, f",porta di uscita,出力ポート,출력 단자쌍,utgangsport,wrota wyjścioweport wyjściowy,porto de saída,utgångsport,输出端口
131-12-63,terminal pair,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-63,منفذ ثنائى الطرف,"Polpaar, n",terminal pair,par de terminales,"paire de bornes, f",coppia di terminalicoppia di morsetti,端子対,단자 쌍,"polpar, klemmepar",wrota dwukońcówkowe,par de terminais,polpar,端对
131-12-64,one-port,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-64,منفذ أحادي,"Eintor, n",one-port,monopuerta,"monoporte, m",monoporta,1ポート,일단자쌍,einport,"dwójnik, <układ elektroniczny, który posiada dwa zaciski> mjednowrotnik, m",monoporto,enport,单端口
131-12-65,two-port,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-65,منفذ ثنائى,"Zweitor, n",two-port,bipuerta,"biporte, mréseau à deux accès, m",biporta,２ポート,2 단자쌍,toport,dwuwrotnikczwórnik (1),biportorede de dois portos,tvåport,二端口
131-12-66,two-terminal-pair network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-66,شبكة زوج ثنائى الأطراف بعدد n,"Vierpol, m",two-terminal-pair network,cuadripolored con dos pares de terminales,"quadripôle, m",rete con due coppie di terminaliquadripolo,２端子対ネットワーク２端子対回路網,2 단자 쌍 망,firepol,czwórnik (2),quadripolorede de dois pares de terminais,fyrpol,二端对网络
131-12-67,n-terminal-pair network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-67,شبكة زوج متعددة الأطراف بعدد n,"Netzwerk mit n Polpaaren, n",n-terminal-pair network,red con n pares de terminales,"réseau à n paires de bornes, m",rete con n-coppie di terminali,n端子対ネットワークn端子対回路網,n 단자 쌍 회로망,nett med n polpar,wielobiegunnik 2n-końcówkowy,rede de n pares,nät med n polpar,n端对网络
131-12-68,n-port,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-68,متعدد المنافذ,"n-Tor, nMehrtor, n",n-portmultiport,multipuerta,"multiporte, mréseau à n accès, m",multiporta,nポート多ポート,n 단자쌍다중 단자쌍,fleirport,wielowrotnikn-wrotnik,multiportorede de n portos,n-port,n端口多端口
131-12-69,balanced two-terminal-pair network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-69,شبكة زوج متوازنة ثنائية الأطراف,"erdsymmetrischer Vierpol, m",balanced two-terminal-pair network,cuadripolo equilibrado,"quadripôle équilibré, m",rete con due coppie equilibrate di terminali rete quadripolare equilibrata,平衡２端子対回路網,평형 2 단자쌍 회로망,balansert firepol,dwuwrotnik zrównoważony,quadripolo equilibrado,balanserad fyrpol,平衡二端对网络
131-12-70,symmetric two-port network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-70,شبكة متماثلة ثنائية المنفذ,"längssymmetrisches Zweitor, n",symmetric two-port network,red bipuerta simétrica,"biporte symétrique, m",rete con due porte simmetriche,対称２ポート回路網,대칭 2 단자쌍 회로망,symmetrisk toport,dwuwrotnik symetryczny,biporto simétrico,symmetrisk tvåport,对称二端口网络
131-12-71,asymmetric two-port network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-71,شبكة غير متماثلة ثنائية المنفذ,"unsymmetrisches Zweitor, n",asymmetric two-port network,red bipuerta asimétrica,"biporte asymétrique, m",rete con due porte asimmetriche,非対称２ポート回路網,비대칭 2 단자쌍 회로망,asymmetrisk toport,dwuwrotnik niesymetryczny,biporto assimétrico,asymmetrisk tvåport,非对称二端口网络
131-12-72,closed circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-72,دارة مغلقة,"geschlossener Stromkreis, m",closed circuit,circuito cerrado,"circuit fermé, m",circuito chiuso,閉路,폐 회로,lukka krins,obwód zamknięty,circuito fechado,sluten strömkrets,闭合电路
131-12-73,open circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-73,دارة مفتوحة,"offener Stromkreis, m",open circuit,circuito abierto,"circuit ouvert, m",circuito aperto,開路,개방 회로,open krins,obwód otwarty,circuito aberto,öppen strömkrets,开路
131-12-74,connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-74,توصيل,"...Schaltung, f, in Zusammensetzungen",connection,conexiónmontaje,"montage, mcouplage (2) (en théorie des circuits) m",collegamentoconnessione,接続,접속,kopling,połączenieukład,conexão,koppling,连接
131-12-75,series connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-75,توصيل على التوالى,"Reihenschaltung, f",series connection,conexión (en) seriemontaje (en) serie,"montage en série, mmontage série, m",collegamento in serie,直列接続,직렬 접속,seriekopling,połączenie szeregoweukład szeregowy,conexão (em) série,seriekoppling,串联
131-12-76,parallel connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-76,توصيل على التوازى,"Parallelschaltung, f",parallel connection,conexión (en) paralelomontaje (en) paralelo,"montage en parallèle, mmontage parallèle, m",collegamento in parallelo,並列接続,병렬 접속,parallellkopling,połączenie równoległeukład równoległy,conexão (em) paralelo,parallellkoppling,并联
131-12-77,cascade connection,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-77,توصيل تتابعي,"Kettenschaltung, f",cascade connection,conexión en cascadamontaje en cascada,"montage en cascade, m",collegamento in cascata,カスケード接続,연속 접속,kaskadekopling,połączenie kaskadoweukład kaskadowypołączenie łańcuchowe,conexão (em) cascata,kaskadkoppling,级联
131-12-78,ideal transformer,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-78,,"idealer Transformator, midealer Übertrager, m",ideal transformer,transformador ideal,"transformateur idéal, m",,理想変圧器,이상 변압기,ideell transformator,transformator idealny,transformador ideal,,理想变压器
131-12-79,ideal gyrator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-79,,"idealer Gyrator, m",ideal gyrator,girador ideal,"gyrateur idéal, m",,理想ジャイレータ,이상 자이레이터,ideell gyrator,girator idealnyżyrator idealny,girador ideal,,理想回转器
131-12-80,ideal attenuator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-80,موهن مثالى,"ideales Dämpfungsglied, n",ideal attenuator,atenuador ideal,"atténuateur idéal, maffaiblisseur idéal, m",attenuatore ideale,理想減衰器,이상 감쇠기,ideell dempar,tłumik idealnyattenuator idealny,atenuador ideal,ideal dämpare,理想衰减器
131-12-81,ideal amplifier,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-81,مضخم مثالى,"idealer Verstärker, m",ideal amplifier,amplificador ideal,"amplificateur idéal, m",amplificatore ideale,理想増幅器,이상 증폭기,ideell forsterkar,wzmacniacz idealny,amplificador ideal,ideal förstärkare,理想放大器
131-12-82,ideal impedance convertor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-82,مغير معاوقة مثالى,"idealer Impedanzwandler, m",ideal impedance convertor,convertidor ideal de impedancia,"convertisseur idéal d'impédance, m",convertitore ideale di impedenza,理想インピーダンスコンバータ理想インピーダンス変換器,이상 임피던스 변환기,ideell impedansomformar,konwerter impedancji idealny,conversor de impedância ideal,ideal impedanstransformator,理想阻抗转换器
131-12-83,negative impedance convertor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-83,مغير معاوقة سلبى,"negativer Impedanzwandler, m",negative impedance convertorNIC (abbreviation),convertidor de impedancia negativo,"convertisseur d'impédance négatif, m",convertitore di impedenza negativo,"NIC, （略語）負性インピーダンス変換器",부 임피던스 변환기NIC,negativ impedansomformar,konwerter impedancji o stałej ujemnejNIC (akronim),conversor de impedância negativo,negativ impedanstransformator,负阻抗转换器NIC
131-12-84,series-resonant circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-84,دارة رنين متوالية,"Serienresonanzkreis, m",series-resonant circuit,circuito resonante serie,"circuit résonant série, m",circuito risonante serie,直列共振回路,직렬 공진 회로,serieresonanskrins,obwód rezonansowy szeregowy,circuito ressonante série,serieresonanskrets,串联谐振电路
131-12-85,parallel-resonant circuit,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-85,دارة رنين متوازية,"Parallelresonanzkreis, m",parallel-resonant circuit,circuito antirresonantecircuito resonante paralelo,"circuit résonant parallèle, mcircuit antirésonant, mcircuit bouchon, m",circuito risonante parallelo,並列共振回路,병렬 공진 회로,parallell resonanskrins,obwód rezonansowy równoległy,circuito ressonante paralelocircuito anti-ressonantecircuito tampão,parallellresonanskrets,并联谐振电路
131-12-86,transmission line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-86,خط نقل,"Übertragungsleitung, f",transmission line,línea de transmisión,"ligne de transmission, f",linea di trasmissione,伝送線路,송전선,transmisjonslinje,linia przesyłowa,linha de transmissão,transmissionsledning,传输线
131-12-87,uniform transmission line,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-87,خط نقل منتظم,"homogene Übertragungsleitung, f",uniform transmission line,línea de transmisión uniforme,"ligne de transmission uniforme, f",linea di trasmissione uniforme,均一伝送線路,균일 송전선,homogen transmisjonslinje,linia przesyłowa o parametrach stałych,linha de transmissão uniforme,homogen ledning,均匀传输线
131-12-88,ohm,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-88,أوموحدة قياس المقاومة,"Ohm, n",ohm,ohmio,"ohm, m",ohm,オーム,옴,,om,ohm,,欧姆欧
131-12-89,siemens,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-89,سيمنزوحدة قياس الموصلية,"Siemens, n",siemens,siemens,"siemens, m",siemens,ジーメンス,지멘스,,simens,siemens,,西门子西
131-12-90,farad,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-90,فارادوحدة قياس سعة المكثف,"Farad, n",farad,faradio,"farad, m",farad,ファラド,패럿,,farad,farad,,法拉法
131-12-91,henry,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-12-91,هنرىوحدة قياس قيمة الحث,"Henry, n",henry,henrio,"henry, m",henry,ヘンリー,헨리,,henr,henry,,亨利亨
131-13-01,network topology,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-01,طبولوجية الشبكات,"Netzwerktopologie, fNetztopologie, f",network topology,topología de redes,"topologie des réseaux, f",topologia di rete,回路網トポロジー,망 토폴로지,nettverkstopologi,topologia sieci,topologia de redes,nättopologi,网络拓扑学
131-13-02,topology of a network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-02,طبولوجية لشبكة,"Topologie eines Netzwerks, f",topology of a network,topología de una red,"topologie d'un réseau, f",topologia di una rete,回路網のトポロジー,망 토폴로지,topologi i eit nettverk,układ topologiczny sieci,topologia de uma rede,topologi hos ett nät,网络拓扑
131-13-03,"network, <in network topology>",https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-03,"شبكة, <في طبوغرافية الشبكة>","Netzwerk, <in der Netzwerktopologie> n","network, <in network topology>",red,"réseau, <en topologie des réseaux> m",rete,"ネットワーク, <回路網トポロジ>回路網","망, <망 토폴로지>네트워크회로망",nettverk,"sieć, <w topologii sieci> f",rede,nät,"网络, <网络拓扑>"
131-13-04,n-terminal network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-04,شبكة متعددة الأطراف بعدد n,"mehrpoliges Netzwerk, nn-poliges Netzwerk, n",n-terminal network,red de n terminalesred multipolo,multipôle (2) m,rete multipolare,n端子ネットワークn端子回路網,n 단자 회로망,fleirpola nettverk,sieć wielokońcówkowasieć n-końcówkowa,multipolo (2)rede de n terminais,n-polsnät,n端网络
131-13-05,two-terminal network,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-05,شبكة ثنائية الطرف,"zweipoliges Netzwerk, n",two-terminal network,red bipolored de dos terminales,"bipôle (2), mDÉCONSEILLÉ: dipôle, m",rete bipolare,２端子ネットワーク２端子回路網,2 단자 회로망,topola nettverk,sieć dwukońcówkowa,bipolo (2)rede de dois terminais,tvåpolsnät,二端网络
131-13-06,branch,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=131-13-06,فرع,"Zweig, m",branch,rama,"branche, f",ramo,枝,가지,grein,gałąź,ramo,gren,支路
