term_id,term,term_url,ar,de,en,es,fi,fr,it,ja,ko,pl,pt,sr,sv,zh
521-02-69,potential barrier,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-69,حاجزجهد,"Potentialschwelle, f",potential barrier,barrera de potencial,potentiaalivalli,"barrière de potentiel (1), f",barriera di potenziale,ポテンシャル障壁,전위 장벽,bariera potencjału,barreira de potencial,"потенцијална баријера, ж јд",potentialbarriär,势垒
521-02-70,potential barrier (of a PN junction),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-70,حاجز جهد(لوصلة PN ),"Potentialschwelle, <eines PN-Übergangs> f",potential barrier (of a PN junction),barrera de potencial (de una unión PN),PN-siirtymävyöhykkeen potentiaalivalli,"barrière de potentiel (d’une jonction PN) (2), f",barriera di potenziale,"ポテンシャル障壁, <ＰＮ接合の>","전위 장벽, <PN접합>",bariera potencjału (złącza PN),barreira de potencial (de uma junção PN),"потенцијална баријера, <PN-споја> ж јд",potentialbarriär (i PN-övergång),"势垒, <PN结的>"
521-02-71,Schottky barrier,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-71,حاجز شكوتكي,"Schottky-Barriere, f",Schottky barrier,barrera de Schottky,Shottkyn valli,"barrière de Schottky, f",barriera di Schottky,ショットキー障壁,쇼트키 장벽,bariera Schottky’ego,barreira de Schottky,"Шоткијева баријера, ж јд",Schottky-barriär,肖特基势垒
521-02-72,junction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-72,وصلة,"Übergang, m",junction,unión,siirtymävyöhyke,"jonction, f",giunzione,接合,접합접합부접속,złącze,junção,"спој, м јд",övergång,结
521-02-73,abrupt junction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-73,وصلة منقطعة,"abrupter Übergang, m",abrupt junction,unión abrupta,jyrkkä siirtymävyöhyke,"jonction abrupte, f",giunzione brusca,階段接合,계단 접합,złącze skokowe,junção abrupta,"стрми спој, м јд",abrupt övergång,突变结
521-02-74,progressive junction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-74,وصلة متدرجة,"allmählicher Übergang, m",progressive junction,unión gradual,loiva siirtymävyöhyke,"jonction progressive, f",giunzione graduale,傾斜接合,점진적 접합,złącze przejściowe stopniowane,junção progressiva,"прогресивни спој, м јд",gradvis övergång,缓变结
521-02-75,alloyed junction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-75,وصلة سبيكة,"legierter Übergang, m",alloyed junction,unión por aleación,seostettu siirtymävyöhyke,"jonction par alliage, f",giunzione a lega,合金接合,합금 접합,złącze stopowe,junção por liga,"легирани спој, м јдметалуршки спој, м јд",legerad övergång,合金结
521-02-76,diffused junction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-76,وصلة بالانتشار,"diffundierter Übergang, m",diffused junction,unión por difusión,diffusoitu siirtymävyöhyke,"jonction par diffusion, f",giunzione diffusa,拡散接合,확산 접합,złącze dyfuzyjne,junção por difusão,"дифузиони спој, м јд",diffunderad övergång,扩散结
521-02-77,grown junction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-77,وصلة نامية,"gezogener Übergang, m",grown junction,unión por extracción,kasvatettu siirtymävyöhyke,"jonction par tirage, f",giunzione cresciuta,成長接合,성장 접합,złącze wyciągane,junção por estiramento,"нарасли спој, м јд",odlad övergång,生长结
521-02-78,PN junction,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-78,وصلة PN,"PN-Übergang, m",PN junction,unión PN,PN-liitosPN-siirtymävyöhyke,"jonction PN, f",giunzione PN,ＰＮ接合,피엔 접합PN 접합,złącze PN,junção PN,"PN-спој, м јд",PN-övergång,PN结
521-02-79,space-charge region,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-79,منطقة الشحن الحيزية,"Raumladungszone, f",space-charge region,región de carga de espacio,avaruusvarausalue,"région de charge d’espace, f",regione di carica spaziale,空間電荷領域,공간 전하 영역,obszar ładunku przestrzennego,região de carga espacial,"област просторног наелектрисања, ж јд",rymdladdningsområde,空间电荷区
521-02-80,space-charge region (of a PN junction),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-80,منطقة الشحن الحيزية (لوصلة PN   ),"Raumladungszone, <eines PN-Übergangs> f",space-charge region (of a PN junction),región de carga de espacio (de una unión PN),PN-siirtymävyöhykkeen avaruusvarausalue,"région de charge spatiale (d’une jonction PN), f",regione di carica spaziale,"空間電荷領域, <ＰＮ接合の>","공간 전하 영역, <PN접합>",obszar ładunku przestrzennego (złącza PN),região de carga espacial (de uma junção PN),"област просторног наелектрисања, <PN-споја> ж јд",rymdladdningsområde (i PN-övergång),"空间电荷区, <PN结的>"
521-02-81,internal electric field,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-81,مجال كهربائي داخلي,"inneres elektrisches Feld, n",internal electric field,campo eléctrico interno,sisäinen sähkökenttä,"champ électrique interne, m",campo elettrico interno,内部電界,내부 전계,pole elektryczne wewnętrzne,campo eléctrico interno,"унутрашње електрично поље, с јд",inre elektriskt fält,内建电场
521-02-82,depletion layer (of a semiconductor),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-82,طبقة الاستنزاف  (لشبة موصل),"Verarmungsschicht, <eines Halbleiters> f",depletion layer (of a semiconductor),capa de agotamiento (de un semiconductor),tyhjennysalue,"couche d’appauvrissement (d’un semiconducteur)  fcouche de déplétion, f",zona di svuotamento,"空乏層, <半導体の>","공핍층, <반도체>",warstwa zubożona (w półprzewodniku),camada de depleção (de um semicondutor),"област осиромашења, <полупроводника> ж јдосиромашена област, <полупроводника> ж јд",utarmningsområde,"耗尽层, <半导体的>"
521-02-83,tunnel effect (in a PN junction),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-83,أثر نفقي (فى وصلةPN),"Tunneleffekt, <in einem PN-Übergang> m",tunnel effect (in a PN junction),efecto túnel (en una unión PN),tunneli-ilmiö,"effet tunnel (dans une jonction PN), m",effetto tunnel,"トンネル効果, <ＰＮ接合中の>","터널 효과, <PN접합>",zjawisko tunelowe (w złączu PN),efeito túnel (numa junção PN),"ефекат тунела, <PN-споја> м јд",tunneleffekt (i PN-övergång),"隧道效应, <PN结中>"
521-02-84,magnetoresistive effect,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-84,أثر المقاومة المغناطيسية,"Magnetowiderstandseffekt, m",magnetoresistive effect,efecto magnetorresistente,magnetoresistiivinen ilmiö,"effet magnétorésistant, m",effetto magnetoresistivo,磁気抵抗効果,자기 저항성 효과,zjawisko magnetorezystywne,efeito magneto-resistivo,"магнетно-резистивни ефекат, м јд",magnetoresistiv effekt,磁电阻效应磁阻效应
521-02-85,piezoresistive effect,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-02-85,أثر المقاومة الاجهادى,"Piezowiderstandseffekt, mSpannungswiderstandseffekt, m",piezoresistive effecttensoresistive effect,efecto piezorresistenteefecto tensorresistente,pietsosähköinen ilmiö,"effet piézorésistant, meffet tensorésistant, m",effetto piezoresistivo,圧抵抗効果,압전 저항 효과,zjawisko piezorezystywne zjawisko tensorezystywne,efeito piezo-resistivoefeito tenso-resistivo,"пијезорезистивни ефекат, м јдтензорезистивни ефекат, м јд",piezoresistiv effekt,压阻效应
521-03-01,growing by pulling (of a single crystal),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-03-01,نمو بالسحب (لبلورة احادية),"Einkristallziehen nach Czochralski, n",growing by pulling (of a single crystal)growing by Czochralski’s method,crecimiento por el método de Czochralskicrecimiento por extracción (de un monocristal),yksikiteen kasvattaminen vetämälläkasvattaminen Czochralskin menetelmällä,"croissance par tirage (d’un monocristal), fcroissance par la méthode de Czochralski, f",crescita per tiraggio,"チョクラルスキー法による成長引き上げ成長, <単結晶の>","당김 성장, <단일 결정>",metoda monokrystalizacji Czochralskiego,crescimento por extracção (de um monocristal)crescimento pelo método de Czochralski,"раст извлачењем, м јдметода раста по Чохралском, ж јд",kristalldragning,"直拉生长, <单晶的>切克劳斯基法生长"
521-03-02,growing by zone melting (of a single crystal),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-03-02,نمو بانصهار منطقة (لبلورة احادية),"Einkristallziehen durch Zonenschmelzen, n",growing by zone melting (of a single crystal),crecimiento de un monocristal por fusión de zona,yksikiteen kasvattaminen vyöhykesulatusmenetelmällä,"croissance d’un monocristal par fusion de zone, f",accrescimento di un monocristallo mediante fusione di zona,"帯域溶融成長, <単結晶の>","영융해 성장, <단일 결정>",metoda monokrystalizacji strefowej,crescimento de um monocristal por fusão de zona,"раст монокристала методом растопљене зоне, м јд",kristallodling med zonsmältning,"区熔生长, <单晶的>"
521-03-03,zone refining,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-03-03,تنقية منطقة,"Zonenreinigen, n",zone refining,purificación por zona,vyöhykkeenpuhdistus,"purification par zone, f",crescita per zona fusa,帯域精製,대역 정제,oczyszczanie strefowe,purificação por zona,"зонско пречишћавање, с јд",zonrening,区熔提纯
521-03-04,zone levelling,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-03-04,تسوية منطقة,"Zonennivellieren, n",zone levelling,nivelación por zona,vyöhykkeentasoittaminen,"nivellement par zone, m",livellamento attraverso zona,帯域均質化,대역 레벨링,wyrównywanie strefowe,nivelamento por zona,"зонско нивелисање, с јд",zonutjämning,区熔夷平
521-03-05,doping (of a semiconductor),https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-03-05,اضافة شوائب (لاشباه الموصلات),"Dotieren, <eines Halbleiters> n",doping (of a semiconductor),dopado (de un semiconductor),seostaminen,"dopage (d’un semiconducteur), m",drogaggio,"ドーピング, <半導体の>","불순물 첨가, <반도체>",domieszkowanie (półprzewodnika),dopagem (de um semicondutor),"додавање примеса, с јд",dopning,掺杂
521-03-06,impurity compensation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-03-06,تعويض الشوائب,"Störstellenkompensation, f",impurity compensation,compensación por impurezas,epäpuhtauskompensointi,"compensation au moyen d’impuretés, f",compensazione delle impurezze,不純物補償,불순물 보상,kompensacja domieszkowa,compensação por impurezas,"компензација нечистоће, ж јд",störämneskompensering,杂质补偿
521-03-07,alloy technique,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-03-07,تقنية السبيكة,"Legierungstechnik, f",alloy technique,técnica de aleación,seostekniikka,"procédé par alliage, m",tecnica di legaprocedimento per mescolanza,合金技術,합금 기법,technika stopowa,técnica de liga,"техника легирања, ж јд",legeringsteknik,合金工艺
521-03-08,diffusion technique,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-03-08,تقنية الانتشار,"Diffusionstechnik, f",diffusion technique,técnica de difusión,diffuusiotekniikka,"procédé par diffusion, m",tecnica di diffusioneprocedimento per diffusione,拡散技術,확산 기법,technika dyfuzyjna,técnica de difusão,"дифузиона техника, ж јд",diffusionsteknik,扩散工艺
521-03-09,planar technique,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-03-09,تقنية سطحية,"Planartechnik, f",planar technique,técnica planar,planaaritekniikka,"procédé planaire, m",tecnica planareprocedimento planare,プレーナ技術,평면 기법,technika planarna,técnica planar,"планарна техника, ж јд",planarteknik,平面工艺
521-03-10,micro-alloy technique,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-03-10,تقنية سبيكيةِ دقيقةِ,"Mikrolegierungstechnik, f",micro-alloy technique,técnica de microaleación,mikroseostekniikka,"procédé par microalliage, m",tecnica di microlega,微小合金技術,미세 합금 기법,technika mikrostopu,técnica de microliga,"техника микролегирања, ж јд",mikrolegeringsteknik,微合金工艺
521-03-11,mesa technique,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-03-11,تقنية ميسة,"Mesatechnik, f",mesa technique,técnica mesa,mesatekniikka,"procédé mesa, m",tecnica mesa procedimento a terrazza,メサ技術,메사 기법,"technika ""mesa""",técnica mesa,"меса техника, ж јд",mesateknik,台面工艺
521-03-12,epitaxy,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-03-12,ترسيب بلوري منتظم (فى شبة موصل),"Epitaxie, f",epitaxy,epítaxis,epitaksia,"épitaxie, f",epitassia,エピタキシー,적층 성장,epitaksja,epitaxia,"епитаксија, ж јд",epitaxi,外延
521-03-13,surface passivation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-03-13,تخميل سطحى,"Oberflächenpassivierung, f",surface passivation,,passivointi,"passivation de surface, f",passivazione di superficie,表面保護,표면 보호,pasywacja powierzchniowa,passivação de superfície,"пасивизација површине, ж јд",ytpassivering,表面钝化
521-03-14,ion implantation,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-03-14,زراعة ايونات,"Ionenimplantation (bei Halbleitern), f",ion implantation,implantación iónica,ioni-istutus,"implantation ionique, f",impianto ionico,イオン注入,이온 주입,implantacja jonów,implantação iónica,"имплантација јона, ж јд",jonimplantering,离子注入
521-03-15,vapour-phase deposition technique,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-03-15,تقنية الترسيب بالطور البخارى,"Abscheidung aus der Gasphase, f",vapour-phase deposition technique,deposición en fase vapor,höyryfaasikasvatus,"dépôt en phase vapeur, m",deposizione da fase-vapore,気相成長技術,증기상 증착 기술,osadzanie z fazy lotnej,depósito em fase vapor,"техника распоређивања из парне фазе, ж јд",ångfasdeponering,汽相淀积工艺
521-03-16,screen-printing technique,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-03-16,تقنية الطباعة  على الشاشة,"Siebdrucktechnik, f",screen-printing technique,serigrafía,seulapainotekniikka,"sérigraphie, f",serigrafia,スクリーン印刷技術,스크린 인쇄 기술,technika sitodruku,serigrafia,"техника сито-штампе, ж јд",screentryckning,丝网印刷工艺
521-03-17,sputtering,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-03-17,طلاء بالرش االمهبطي,"Zerstäubung, f",sputtering,pulverización en vacío,pölytys,"pulvérisation sous vide, f",sputtering polverizzazione sotto vuoto,スパッタリング,스퍼터링제거가공,napylanie,pulverização sob vácuo,"распршавање, с јдспатеровање, с јд",partikeldeponering,溅射
521-03-18,chemical mechanical polishing,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-03-18,,"chemisch-mechanisches Polieren, nCMP",chemical mechanical polishingCMP,,,"polissage mécano-chimique, mCMP, m",,化学機械研磨,,"polerowanie mechaniczno-chemiczne, nCMP",polimento mecanoquímico,,,化学机械抛光CMP
521-04-01,semiconductor device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-01,جهاز شبة موصل,"Halbleiterbauelement, n",semiconductor device,dispositivo semiconductor,puolijohdekomponentti,"dispositif à semiconducteurs, m",dispositivo a semiconduttore,半導体デバイス,반도체 소자,przyrząd półprzewodnikowy,dispositivo semicondutor,"полупроводнички уређај, м јд",halvledarkomponent,半导体器件
521-04-02,discrete (semiconductor) device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-02,جهاز شبة موصل منفصل,"Einzelbauelement, nEinzelhalbleiterbauelement, n",discrete (semiconductor) device,dispositivo discretodispositivo semiconductor discreto,erillinen puolijohdekomponentti,"dispositif discret (à semiconducteurs), m",dispositivo discreto (a semiconduttori),個別デバイス個別半導体デバイス,이산 반도체 소자,przyrząd półprzewodnikowy dyskretny przyrząd dyskretny,dispositivo semicondutor discretodispositivo discreto,"дискретни полупроводнички уређај, м јд",diskret halvledarkomponent,半导体分立器件分立器件
521-04-03,(semiconductor) diode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-03,صمام ثنائى (شبه موصل),"Halbleiterdiode, fDiode, f",(semiconductor) diode,diododiodo (semiconductor),puolijohdediodi,"diode (à semiconducteurs), f",diodo (a semiconduttori),ダイオード半導体ダイオード,반도체 다이오드,dioda półprzewodnikowa dioda,díodo semicondutordíodo,"полупроводничка диода, ж јд",halvledardiod,半导体二极管二极管
521-04-04,signal diode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-04,صمام ثنائى للإشارة,"Signaldiode, f",signal diode,diodo de señal,signaalidiodi,"diode de signal, f",diodo di segnale,シグナルダイオード,신호 다이오드,dioda sygnałowa,díodo de sinal,"сигнална диода, ж јд",signaldiod,信号二极管
521-04-05,tunnel diode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-05,صمام ثنائى نفقى,"Tunneldiode, f",tunnel diode,diodo túnel,tunnelidiodi,"diode tunnel, f",diodo tunnel,トンネルダイオード,터널 다이오드,dioda tunelowa,díodo túnel,"тунел-диода, ж јд",tunneldiod,隧道二极管
521-04-06,unitunnel diode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-06,صمام ثنائى احادى النفق,"Unitunneldiode, f",unitunnel diodebackward diode,diodo unitúnel,takadiodi,"diode unitunnel, f",diodo unitunnel,バックワードダイオードユニトンネルダイオード,단일 터널 다이오드,dioda wsteczna dioda odwrotna,díodo unitúnel,"унитунел-диода, ж јдповратна диода, ж јд",backdiod,反向二极管
521-04-07,variable-capacitance diode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-07,صمام ثنائى متغير السعة,"Kapazitätsdiode, fKapazitätsvariationsdiode, f",variable-capacitance diode,diodo de capacidad variable,kapasitanssidiodi,"diode à capacité variable, f",diodo a capacità variabile,可変容量ダイオード,가변 정전 용량 다이오드가변 커패시턴스 다이오드,dioda o zmiennej pojemności dioda parametryczna warikap,díodo de capacidade variável,"диода са променљивом капацитивношћу, ж јдварикап-диода, ж јд",kapacitansdiod,变容二极管
521-04-08,mixer diode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-08,صمام ثنائي مازج,"Mischerdiode, f",mixer diode,diodo mezclador,sekoittajadiodi,"diode mélangeuse, f",diodo miscelatorediodo di conversione,ミクサーダイオード,혼합기 다이오드,dioda mieszająca,díodo misturador,"миксер-диода, ж јд",blandardiod,混频二极管
521-04-09,frequency-multiplication diode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-09,صمام ثنائى مضاعف التردد,"Frequenzvervielfacherdiode, f",frequency-multiplication diode,diodo para multiplicación de frecuencia,taajuuskertojadiodi,"diode pour multiplication de fréquence, f",diodo per moltiplicazione di frequenza,周波数逓倍ダイオード,주파수 증배 다이오드,dioda mnożnika częstotliwości,díodo para multiplicação de frequência,"диода за умножавање фреквенција, ж јд",frekvensmultipliceringsdiod,倍频二极管
521-04-10,modulator diode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-10,صمام ثنائى مضمن,"Halbleiter-Modulationsdiode, fModulationsdiode, f",modulator diode,diodo modulador,modulointidiodi,"diode modulatrice, f",diodo modulatore,変調ダイオード,변조기 다이오드,dioda modulacyjna,díodo modulador,"модулаторска диода, ж јд",moduleringsdiod,调制二极管
521-04-11,detector diode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-11,صمام ثنائى كاشف,"Halbleiter-Detektordiode, fDetektordiode, f",detector diode,diodo detector,ilmaisindiodi,"diode détectrice, f",diodo demodulatore,検波ダイオード,검출기 다이오드,dioda detekcyjna,díodo detector,"детекторска диода, ж јд",detektordiod,检波二极管
521-04-12,snap-off diode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-12,صمام ثنائى- سريع الأستجابة,"Speicherschaltdiode, f",snap-off diodestep recovery diode,,napsudiodi,"diode à retour rapide, f",diodo a ritorno rapido,ステップリカバリダイオードスナップオフダイオード,스냅 오프 다이오드스텝 회복 다이오드전하 축적 다이오드,dioda ładunkowa,díodo de retorno rápido,"диода са брзим опоравком, ж јд",diod med snabb återhämtning,阶跃恢复二极管
521-04-13,switching diode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-13,صمام ثنائى تبادلى (وصل -فصل),"Schaltdiode, f",switching diode,diodo de conmutacióndiodo de retorno rápido,kytkindiodi,"diode de commutation, f",diodo di commutazione,スイッチングダイオード,개폐 다이오드스위칭 다이오드,dioda przełączająca dioda komutacyjna,díodo de comutação,"прекидачка диода, ж јд",switchdiod,开关二极管
521-04-14,microwave switching diode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-14,صمام ثنائى تبادلى  (وصل -فصل) بالموجات  متناهية الصغر,"Mikrowellen-Schaltdiode, f",microwave switching diode,diodo de conmutación de microondas,mikroaaltokytkindiodi,"diode de commutation hyperfréquence, f",diodo di commutazione a microonde,マイクロ波スイッチングダイオード,마이크로파 개폐 다이오드,dioda przełączająca mikrofalowa,díodo de comutação hiperfrequência,"микроталасна прекидачка диода, ж јд",switchdiod för högfrekvens,微波开关二极管
521-04-15,microwave limiting diode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-15,صمام ثنائى محدد بالموجات متناهية الصغر,"Mikrowellen-Begrenzerdiode, f",microwave limiting diode,diodo de limitación de microondas,mikroaaltorajoitusdiodi,"diode de limitation hyperfréquence, f",diodo di limitazione a microonde,マイクロ波制限ダイオード,마이크로파 제한 다이오드,dioda ograniczająca mikrofalowa,díodo de limitação hiperfrequência,"микроталасна лимитерска диода, ж јд",begränsningsdiod för högfrekvens,微波限幅二极管
521-04-16,voltage-reference diode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-16,صمام ثنائى مرجعى الجهد,"Spannungsreferenzdiode, fBezugsdiode, f",voltage-reference diode,diodo de tensión de referencia,referenssidiodi,"diode de tension de référence, f",diodo di tensione di riferimento,基準電圧ダイオード,전압 기준 다이오드,dioda odniesienia dioda stabilizacyjna,díodo de tensão de referência,"диода референтног напона, ж јд",(spännings)referensdiodspänningsreferensdiod,电压基准二极管
521-04-17,voltage-regulator diode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-17,صمام ثنائى منظم للجهد,"Spannungsstabilisatordiode, f",voltage-regulator diode,diodo regulador de tensión,läpilyöntidiodi,"diode régulatrice de tension, f",diodo regolatore di tensione,定電圧ダイオード,정전압 다이오드,dioda stabilizująca napięcie dioda Zenera,díodo regulador de tensão,"диода за регулисање напона, ж јд",spänningsreglerdiod,电压调整二极管
521-04-18,current-regulator diode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-18,صمام ثنائى منظم للتيار,"Stromstabilisatordiode, f",current-regulator diode,diodo regulador de corriente,virransäätödiodi,"diode régulatrice de courant, f",diodo regolatore di corrente,定電流ダイオード,정전류 다이오드,dioda stabilizująca prąd,díodo regulador de corrente,"диода за регулисање струје, ж јд",strömreglerdiod,电流调整二极管
521-04-19,(semiconductor) rectifier diode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-19,صمام ثنائى مقوم (لشبه موصل),"Halbleiter-Gleichrichterdiode, f",(semiconductor) rectifier diode,diodo rectificadordiodo semiconductor rectificador,tasasuuntausdiodi,"diode de redressement (à semiconducteurs), f",diodo raddrizzatore (a semiconduttori),半導体整流ダイオード整流ダイオード,반도체 정류기 다이오드,dioda prostownicza półprzewodnikowa dioda prostownicza,díodo rectificador (semicondutor),"полупроводничка исправљачка диода, ж јд",likriktardiod,半导体整流二极管整流二极管
521-04-20,avalanche rectifier diode,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-20,صمام ثنائى مقوم تيار الانهيار,"Lawinen-Gleichrichterdiode, f",avalanche rectifier diode,diodo rectificador de avalancha,vyörydiodi,"diode de redressement à avalanche, f",diodo raddrizzatore a valanga,アバランシェ形整流ダイオード,항복 정류기 다이오드,dioda prostownicza lawinowa,díodo rectificador de avalanche,"лавинска исправљачка диода, ж јд",lavindiod,雪崩整流二极管
521-04-21,(semiconductor) rectifier stack,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-21,كتلة مقوم (لشبه موصل),"Halbleiter-Gleichrichterbaugruppe, f",(semiconductor) rectifier stack,bloque semiconductor rectificador,levytasasuuntaaja,"bloc de redressement (à semiconducteurs), m",gruppo raddrizzatore (a semiconduttori),半導体整流スタック,반도체 정류기 스택,stos prostowniczy półprzewodnikowy stos prostowniczy,bloco rectificador semicondutor,"полупроводнички исправљачки блок, м јд",likriktarstapel,半导体整流堆
521-04-22,thermistor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-22,مقاومة حرارية,"Thermistor, m",thermistor,termistancia,termistori,"thermistance, f",termistore,サーミスタ,서미스터,termistor,termistor,"термистор, м јд",termistor,热敏电阻器
521-04-23,semiconductor thermoelement,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-23,عنصر حرارى شبه موصل,"Halbleiter-Thermoelement, n",semiconductor thermoelement,termoelemento semiconductor,puolijohdetermoelementti,"thermoélément à semiconducteurs, m",termoelemento a semiconduttori,半導体熱変換素子,반도체 열전 소자,termoelement półprzewodnikowy,termoelemento semicondutor,"полупроводнички термоелемент, м јд",halvledartermoelement,半导体温差电器件
521-04-24,Hall effect device,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-24,جهاز يعمل بظاهرة هول,"Halleffekt-Bauelement, n",Hall effect device,dispositivo de efecto Hall,Hallin komponentti,"dispositif à effet Hall, m",dispositivo ad effetto Hall,ホール効果デバイス,홀 효과 소자,hallotron,dispositivo de efeito Hall,"уређај са Холовим ефектом, м јд",hallkomponent,霍尔效应器件
521-04-25,Hall modulator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-25,مضمن (هول),"Hallmodulator, m",Hall modulator,,Hallin modulaattori,"modulateur à effet Hall, m",modulatore ad effetto Hall,ホール変調器,홀 변조기,modulator hallotronowy,modulador de efeito Hall,"Холов модулатор, м јд",hallmodulator,霍尔调制器
521-04-26,Hall generator,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-26,مولدهول,"Hallgenerator, m",Hall generator,generador Hall,Hallin generaattori,"générateur de Hall, m",generatore di Hall,ホール発電器,홀 발생기,generator Halla,gerador de Hall,"Холов генератор, м јд",hallgenerator,霍尔发生器
521-04-27,Hall multiplier,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-27,مضاعف هول,"Hallmultiplikator, m",Hall multiplier,multiplicador Hall,Hallin kertoja,"multiplicateur de Hall, m",moltiplicatore di Hall,ホール逓倍器,홀 배율기,mnożnik hallotronowy,multiplicador de Hall,"Холов множач, м јд",hallmultiplikator,霍尔乘法器
521-04-28,Hall probe,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-28,مجس ظاهرة هول,"Hallsonde, fHalleffekt-Magnetometer, n",Hall probeHall effect magnetometer,magnetómetro de efecto Hallsonda de Hall,Hallin anturiHallin magnetometri,"sonde de Hall, fmagnétomètre à effet Hall, m",sonda di Hall,ホール効果磁力計ホール探針,홀 탐침,sonda Halla magnetometr hallotronowy,sonda de Hallmagnetómetro de efeito Hall,"Холова сонда, ж јдмагнетометар са Холовим ефектом, м јд",hallsond,霍尔探头霍尔效应磁强计
521-04-29,magnetoresistor,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-29,مقاوم مغناطيسى,"Magnetowiderstand, m",magnetoresistor,magnetorresistencia,magnetovastus,"magnétorésistance, f",magnetoresistore,磁気抵抗器,자기저항기,magnetorezystor,magnetorresistor,"магнетски отпорник, м јд",magnetoresistor,磁电阻器磁阻器
521-04-30,Corbino disc,https://www.electropedia.org/iev/iev.nsf/display?openform&ievref=521-04-30,قرص كوربينو,"Corbino-Scheibe, f",Corbino disc,disco de Corbino,corbinolevy,"disque de Corbino, m",disco di Corbino,コルビーノディスク,콜비노 원반,magnetorezystor tarczowy,disco de Corbino,"Корбинов диск, м јд",corbinoskiva,科尔比诺圆盘
